dataset,tau,width_scale,comparison,metric,delta_mean,ci_low,ci_high,significant
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.021658856742983207,-0.022735659474531163,-0.020493133936755347,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.09908864954432477,-0.10351008008837338,-0.09447528307097487,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0005125424614517668,-0.0008006271314886059,-0.00024174973778438166,True
ML-1M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.051296216300494496,0.0496235819305382,0.05295057921869193,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.07667734314677006,0.07381143332706307,0.07981543848271595,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.1496271748135874,0.14498481082573875,0.15506904170118752,True
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.00022464593422415118,-5.969470114351118e-06,0.00044484698878328733,False
ML-1M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.033830990721526906,-0.03534740833905611,-0.032317146111904206,True
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
ML-1M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.005407077983676059,-0.005971352059747005,-0.004897313859047271,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.049489091411212376,-0.05302954984810826,-0.046064623032311514,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0004203463976604172,-0.0007211876716900829,-0.00012154960303014051,True
ML-1M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0509972159094127,0.04939486832883403,0.05254901633543126,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.043587777037620526,0.04106693638656536,0.04637173028045891,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.1002,0.09559666666666666,0.104905,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0004798608553313575,0.00022389085709873622,0.0007408425298296894,True
ML-20M,0.9,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.02883150275548299,-0.031167212386926015,-0.026844588368733727,True
ML-20M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
ML-20M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
ML-20M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
ML-20M,0.9,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
ML-20M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.008044154631296782,-0.008542303931415068,-0.007532426031589496,True
ML-20M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.09806666666666666,-0.10283833333333334,-0.09386666666666667,True
ML-20M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0004794169447113802,-0.0008674083143705188,-0.00010809515887827977,True
ML-20M,0.9,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0418417850891749,0.040341915314594905,0.043500791282455126,True
ML-20M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.03256186614990232,0.031056192138393703,0.033948106917023636,True
ML-20M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.14833333333333334,0.14309833333333333,0.15386666666666668,True
ML-20M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.00023765494178708916,-5.068085422494142e-05,0.000504471393143838,False
ML-20M,0.95,0.8,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,-0.023991148281097413,-0.025269160102208456,-0.022663709852695463,True
ML-20M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,0.0,0.0,0.0,False
ML-20M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,0.0,0.0,0.0,False
ML-20M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,0.0,0.0,0.0,False
ML-20M,0.95,1.0,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.0,0.0,0.0,False
ML-20M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,weighted_bad_exposure,-0.0018160195485750772,-0.0021055339567859904,-0.0015441064493258736,True
ML-20M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,compliant,-0.04926666666666667,-0.05273333333333333,-0.046031666666666665,True
ML-20M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,ndcg,-0.0004979417885047346,-0.0008709690007510941,-9.482430086102075e-05,True
ML-20M,0.95,1.2,QuotaGate-RDU-EWBE-Cal vs QuotaGate-RDU-EWBE,proxy_utility,0.04087219639619191,0.03956298525313536,0.04242916482110818,True
