dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.06481145610809413
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2025,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.05960620447397247
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,2026,0.9022,0.057,0.057,0.02836486487130436,0.0966,0.13367414643764497,0.865931306412816,6.010806345915794,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,2026,0.97,0.0572,0.0572,0.028616958111774476,0.0294,0.0028590519905090333,0.7254894318372012,5.877030848526955,0.13377549738883943
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.06510430345535312
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2026,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.059521251928805974
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,2027,0.9024,0.057,0.057,0.02836486487130436,0.0964,0.13428652682304382,0.8665191834479571,6.011766168475151,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.2,2027,0.9702,0.0572,0.0572,0.028616958111774476,0.0292,0.0037420080423355103,0.726389874175191,5.878321116948127,0.13344505152702357
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.06538698725700343
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.2,2027,0.9012,0.0578,0.0578,0.028557605999968882,0.0976,0.05546838254928589,0.7168428670987487,5.951285093986988,0.060481074488162534
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,2025,0.802,0.0566,0.0566,0.028126532441986592,0.1942,0.13116742358207703,0.90896967844069,6.03658223426342,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,2025,0.8028,0.0566,0.0566,0.028059277593578947,0.1934,0.061708831334114075,0.8394003960758447,5.989329722428322,0.047252511835098154
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2025,0.95,0.057,0.057,0.028340977715073438,0.048,0.005473167586326599,0.7689128013759852,5.932164378762245,0.10441785550117544
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,2025,0.9386,0.057,0.057,0.027817225430716786,0.0606,0.024265985441207887,0.636434220418334,5.891328107774258,0.1452541264891627
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,2026,0.802,0.0566,0.0566,0.028126532441986592,0.1942,0.13149676535129548,0.9092990202099085,6.036559577059746,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,2026,0.8026,0.0566,0.0566,0.028059277593578947,0.1936,0.061500663566589356,0.8392104506403207,5.989018678402901,0.04754089865684552
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2026,0.95,0.057,0.057,0.028340977715073438,0.048,0.005250189924240112,0.7686823107391596,5.931756036496163,0.10480354056358365
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,2026,0.9386,0.057,0.057,0.027817225430716786,0.0606,0.024265985441207887,0.636434220418334,5.891328107774258,0.14523146928548858
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,2027,0.802,0.0566,0.0566,0.028126532441986592,0.1942,0.13113246071338652,0.9089347155719996,6.0366908493757245,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,0.8,2027,0.8028,0.0566,0.0566,0.028059277593578947,0.1934,0.061813059043884275,0.839504623785615,5.989532391381264,0.04715845799446061
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2027,0.95,0.057,0.057,0.028340977715073438,0.048,0.005957001900672913,0.7693229004770518,5.932286469721794,0.10440437965393023
Amazon-VideoGames,AdaptivePenalty,0.95,10,0.8,2027,0.9386,0.057,0.057,0.027817225430716786,0.0606,0.024265985441207887,0.636434220418334,5.891328107774258,0.1453627416014669
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,2025,0.95,0.057,0.057,0.028384345407250162,0.0498,0.09698606283664703,0.8606823921352625,6.01021028354168,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.0,2025,0.95,0.057,0.057,0.028340977715073438,0.048,0.005473167586326599,0.7689128013759852,5.932164378762245,0.07804590477943485
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2025,0.95,0.057,0.057,0.028340977715073438,0.048,0.005473167586326599,0.7689128013759852,5.932164378762245,0.07804590477943485
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,2025,0.9494,0.0566,0.0566,0.02773650626550218,0.05,0.017278195357322692,0.6085810061439871,5.855494614207744,0.15471566933393532
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,2026,0.95,0.057,0.057,0.028384345407250162,0.0498,0.09750239508152007,0.8611986555248499,6.010106007933617,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.0,2026,0.95,0.057,0.057,0.028340977715073438,0.048,0.005250189924240112,0.7686823107391596,5.931756036496163,0.07834997143745426
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2026,0.95,0.057,0.057,0.028340977715073438,0.048,0.005250189924240112,0.7686823107391596,5.931756036496163,0.07834997143745426
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,2026,0.9494,0.0566,0.0566,0.02773650626550218,0.05,0.017278195357322692,0.6085810061439871,5.855494614207744,0.1546113937258724
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,2027,0.95,0.057,0.057,0.028384345407250162,0.0498,0.09685198955535888,0.860448889914155,6.00978604414463,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.0,2027,0.95,0.057,0.057,0.028340977715073438,0.048,0.005957001900672913,0.7693229004770518,5.932286469721794,0.07749957442283595
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2027,0.95,0.057,0.057,0.028340977715073438,0.048,0.005957001900672913,0.7693229004770518,5.932286469721794,0.07749957442283595
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.0,2027,0.9494,0.0566,0.0566,0.02773650626550218,0.05,0.017278195357322692,0.6085810061439871,5.855494614207744,0.15429142993688583
Amazon-VideoGames,QuotaGate-U,0.95,10,1.2,2025,0.9504,0.0572,0.0572,0.02848606315355927,0.049,0.09398429911136627,0.8101248766213656,5.969065108942986,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.2,2025,0.9998,0.0574,0.0574,0.028728250188295692,0.0002,1.4101600646972656e-05,0.7078000525861978,5.868206616902351,0.10085849204063457
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,2025,0.95,0.057,0.057,0.028340977715073438,0.048,0.005473167586326599,0.7689128013759852,5.932164378762245,0.036900730180740915
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.2,2025,0.9584,0.0554,0.0554,0.027345700874663374,0.0412,0.013935405230522157,0.5946546431183815,5.8344906432151795,0.1345744657278063
Amazon-VideoGames,QuotaGate-U,0.95,10,1.2,2026,0.9502,0.0572,0.0572,0.02848606315355927,0.0492,0.09512873179912568,0.8112934827834368,5.969682059264183,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.2,2026,1.0,0.0574,0.0574,0.028728250188295692,0.0,0.0,0.7078568053275347,5.868220304703712,0.10146175456047057
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,2026,0.95,0.057,0.057,0.028340977715073438,0.048,0.005250189924240112,0.7686823107391596,5.931756036496163,0.03792602276802004
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.2,2026,0.9584,0.0554,0.0554,0.027345700874663374,0.0412,0.013935405230522157,0.5946546431183815,5.8344906432151795,0.1351914160490031
Amazon-VideoGames,QuotaGate-U,0.95,10,1.2,2027,0.9504,0.0572,0.0572,0.02848606315355927,0.049,0.09459713358879089,0.8107496096402407,5.970166200041771,0.0
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.95,10,1.2,2027,0.9992,0.0574,0.0574,0.028728250188295692,0.0008,0.0012377784252166747,0.7091146638065576,5.869880452847481,0.10028574719428995
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,2027,0.95,0.057,0.057,0.028340977715073438,0.048,0.005957001900672913,0.7693229004770518,5.932286469721794,0.03787973031997627
Amazon-VideoGames,AdaptivePenalty,0.95,10,1.2,2027,0.9584,0.0554,0.0554,0.027345700874663374,0.0412,0.013935405230522157,0.5946546431183815,5.8344906432151795,0.13567555682659105
ML-1M,QuotaGate-U,0.9,10,0.8,2025,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.1264917349874628,1.5359796958601268,10.545923532724577,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,0.8,2025,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.1264917349874628,1.5359796958601268,10.545923532724577,0.0
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022008943178481875,1.4157345169903626,10.504679592957453,0.04124393976712426
ML-1M,AdaptivePenalty,0.9,10,0.8,2025,0.8994200497100249,0.07174813587406793,0.07174813587406793,0.03530149217298813,0.09875724937862469,0.04632660204453615,1.2825092289957905,10.502922678191304,0.043000854533273625
ML-1M,QuotaGate-U,0.9,10,0.8,2026,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12675703604160113,1.536244996914265,10.545962007280806,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,0.8,2026,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12675703604160113,1.536244996914265,10.545962007280806,0.0
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233399056163621,1.4160190484485748,10.504766275552846,0.041195731727960094
ML-1M,AdaptivePenalty,0.9,10,0.8,2026,0.8994200497100249,0.07174813587406793,0.07174813587406793,0.03530149217298813,0.09875724937862469,0.04632660204453615,1.2825092289957905,10.502922678191304,0.04303932908950259
ML-1M,QuotaGate-U,0.9,10,0.8,2027,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12675703604160113,1.536244996914265,10.545962007280806,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,0.8,2027,0.8,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12675703604160113,1.536244996914265,10.545962007280806,0.0
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022046407685362816,1.415769589370751,10.504735828295363,0.04122617898544334
ML-1M,AdaptivePenalty,0.9,10,0.8,2027,0.8994200497100249,0.07174813587406793,0.07174813587406793,0.03530149217298813,0.09875724937862469,0.04632660204453615,1.2825092289957905,10.502922678191304,0.04303932908950259
ML-1M,QuotaGate-U,0.9,10,1.0,2025,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09726594863297432,0.09964572369212836,1.4950849553019228,10.540611937111235,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022008943178481875,1.4157345169903626,10.504679592957453,0.03593234415378177
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022008943178481875,1.4157345169903626,10.504679592957453,0.03593234415378177
ML-1M,AdaptivePenalty,0.9,10,1.0,2025,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03828913713153348
ML-1M,QuotaGate-U,0.9,10,1.0,2026,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.0999494116940376,1.4953782503713036,10.540692576872187,0.0
