dataset,tau,k,width_scale,exact_inverse_cal_scale,effective_width_product,penalty_lam,adaptive_eta0,ewbe_lambda_nominal,ref_compliance,ref_wbe,ref_proxy_utility,ref_ndcg,nominal_fit_n
Amazon-VideoGames,0.9,10,0.8,1.25,1.0,1.0,4.0,16.0,0.9002,0.026535026717185974,5.946079842352867,0.038036203623355525,1000
Amazon-VideoGames,0.9,10,1.0,1.0,1.0,1.0,4.0,16.0,0.9002,0.026535026717185974,5.946079842352867,0.038036203623355525,1000
Amazon-VideoGames,0.9,10,1.2,0.8333333333333334,1.0,1.0,4.0,16.0,0.9002,0.026535026717185974,5.946079842352867,0.038036203623355525,1000
Amazon-VideoGames,0.95,10,0.8,1.25,1.0,1.0,0.1,32.0,0.95,0.00542616970539093,5.932164378762245,0.038121053110930045,1000
Amazon-VideoGames,0.95,10,1.0,1.0,1.0,1.0,0.1,32.0,0.95,0.00542616970539093,5.932164378762245,0.038121053110930045,1000
Amazon-VideoGames,0.95,10,1.2,0.8333333333333334,1.0,1.0,0.1,32.0,0.95,0.00542616970539093,5.932164378762245,0.038121053110930045,1000
ML-1M,0.9,10,0.8,1.25,1.0,0.25,1.0,32.0,0.9000828500414251,0.021470089432811982,10.504679592957453,0.040600531907388916,1207
ML-1M,0.9,10,1.0,1.0,1.0,0.25,1.0,32.0,0.9000828500414251,0.021470089432811982,10.504679592957453,0.040600531907388916,1207
ML-1M,0.9,10,1.2,0.8333333333333334,1.0,0.25,1.0,32.0,0.9000828500414251,0.021470089432811982,10.504679592957453,0.040600531907388916,1207
ML-1M,0.95,10,0.8,1.25,1.0,0.5,2.0,32.0,0.9501242750621375,0.00567508989063886,10.500092814160263,0.04046570986369289,1207
ML-1M,0.95,10,1.0,1.0,1.0,0.5,2.0,32.0,0.9501242750621375,0.00567508989063886,10.500092814160263,0.04046570986369289,1207
ML-1M,0.95,10,1.2,0.8333333333333334,1.0,0.5,2.0,32.0,0.9501242750621375,0.00567508989063886,10.500092814160263,0.04046570986369289,1207
ML-20M,0.9,10,0.8,1.25,1.0,0.5,2.0,32.0,0.9002,0.008051686618328082,9.789052284049987,0.04602245378675135,1000
ML-20M,0.9,10,1.0,1.0,1.0,0.5,2.0,32.0,0.9002,0.008051686618328082,9.789052284049987,0.04602245378675135,1000
ML-20M,0.9,10,1.2,0.8333333333333334,1.0,0.5,2.0,32.0,0.9002,0.008051686618328082,9.789052284049987,0.04602245378675135,1000
ML-20M,0.95,10,0.8,1.25,1.0,1.0,2.0,16.0,0.95,0.0019300710296630797,9.785588097667693,0.046209517911843315,1000
ML-20M,0.95,10,1.0,1.0,1.0,1.0,2.0,16.0,0.95,0.0019300710296630797,9.785588097667693,0.046209517911843315,1000
ML-20M,0.95,10,1.2,0.8333333333333334,1.0,1.0,2.0,16.0,0.95,0.0019300710296630797,9.785588097667693,0.046209517911843315,1000
