dataset,tau,width_scale,exact_inverse_cal_scale,effective_width_product,comparison,metric,delta_mean,ci_low,ci_high,significant,nominal_mean,calibrated_mean
Amazon-VideoGames,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
Amazon-VideoGames,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.02703611589272817,0.02703611589272817
Amazon-VideoGames,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028038870883463875,0.028038870883463875
Amazon-VideoGames,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.946053688677152,5.946053688677152
Amazon-VideoGames,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
Amazon-VideoGames,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.02703611589272817,0.02703611589272817
Amazon-VideoGames,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028038870883463875,0.028038870883463875
Amazon-VideoGames,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.946053688677152,5.946053688677152
Amazon-VideoGames,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
Amazon-VideoGames,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.02703611589272817,0.02703611589272817
Amazon-VideoGames,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028038870883463875,0.028038870883463875
Amazon-VideoGames,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.946053688677152,5.946053688677152
Amazon-VideoGames,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.95,0.95
Amazon-VideoGames,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005560119803746541,0.005560119803746541
Amazon-VideoGames,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028340977715073434,0.028340977715073434
Amazon-VideoGames,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.932068961660067,5.932068961660067
Amazon-VideoGames,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.95,0.95
Amazon-VideoGames,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005560119803746541,0.005560119803746541
