dataset,challenger,scope,comparator,metric,delta_mean,ci_low,ci_high
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,compliant,-0.0016,-0.005804999999999999,0.0024
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,hit,0.0,0.0,0.0
Amazon-VideoGames,Guarded-OC-Quota,overall,Primal-Dual,ndcg,-2.2629438553091675e-05,-9.05177542123667e-05,0.0
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,bad_exposure,0.007,-0.016,0.03
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.04271991801261902,-0.06126863970160484,-0.02419960978627205
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.04118144172430038,-0.0610883313715458,-0.02119127085953951
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,compliant,-0.008,-0.030024999999999996,0.015024999999999976
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,hit,0.0,0.0,0.0
Amazon-VideoGames,Guarded-OC-Quota,highrisk,Primal-Dual,ndcg,-0.00011314719276545837,-0.0003394415782963751,0.0
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,bad_exposure,-0.0002,-0.0038,0.0038049999999999955
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.007379433965682984,-0.011225537262558937,-0.003905375192165378
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.007328913307189941,-0.011364744304418565,-0.0035739685785770446
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,compliant,-0.0002,-0.0044,0.0036
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,hit,0.0,0.0,0.0
Amazon-VideoGames,Guarded-OC-Quota,overall,QuotaGateV6,ndcg,-2.2629438553091675e-05,-9.05177542123667e-05,0.0
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,bad_exposure,-0.001,-0.018,0.016024999999999977
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.036897169828414914,-0.05221516371369362,-0.021826381033658984
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.036644566535949705,-0.053636615726351734,-0.02029181350767615
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,compliant,-0.001,-0.019024999999999997,0.016024999999999977
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,hit,0.0,0.0,0.0
Amazon-VideoGames,Guarded-OC-Quota,highrisk,QuotaGateV6,ndcg,-0.00011314719276545837,-0.0003394415782963751,0.0
ML-1M,OC-Quota,overall,Penalty,bad_exposure,-0.00016570008285004143,-0.009784589892294944,0.010604805302402652
ML-1M,OC-Quota,overall,Penalty,weighted_bad_exposure,-0.02077702371364995,-0.02575745962154006,-0.015771731236204206
ML-1M,OC-Quota,overall,Penalty,risk_weighted_miss,0.13896752215409536,0.1297498552748114,0.14854426650495547
ML-1M,OC-Quota,overall,Penalty,compliant,0.0,-0.010944490472245235,0.010273405136702569
ML-1M,OC-Quota,overall,Penalty,hit,-0.0004971002485501243,-0.002982601491300746,0.00231980115990058
ML-1M,OC-Quota,overall,Penalty,ndcg,-0.0007936100418726419,-0.0017202523201065125,0.0003537477949162004
ML-1M,OC-Quota,highrisk,Penalty,bad_exposure,-0.0008285004142502071,-0.04975144987572493,0.056338028169014086
ML-1M,OC-Quota,highrisk,Penalty,weighted_bad_exposure,-0.10388511856824975,-0.12874257828049554,-0.07928295047300951
ML-1M,OC-Quota,highrisk,Penalty,risk_weighted_miss,-0.0036308944669753533,-0.0415548956223826,0.03487591842357635
ML-1M,OC-Quota,highrisk,Penalty,compliant,0.0,-0.05476387738193869,0.05136702568351284
ML-1M,OC-Quota,highrisk,Penalty,hit,-0.0033140016570008283,-0.008285004142502071,0.0016570008285004142
ML-1M,OC-Quota,highrisk,Penalty,ndcg,-0.0009267728571102923,-0.0027746991873546407,0.0008559596752500293
ML-1M,OC-Quota,overall,Primal-Dual,bad_exposure,-0.0009942004971002485,-0.011106048053024026,0.009946147473073734
ML-1M,OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.07652663881954519,-0.08476077134725767,-0.06686929876387564
