dataset,scope,comparator,metric,ocquota_minus_comp_mean,ci_low,ci_high
ML-1M,highrisk,Primal-Dual,ndcg,-0.00025489035280117556,-0.0025896989690614818,0.0019047393684333998
ML-1M,overall,QuotaGateV6,bad_exposure,-0.00033140016570008286,-0.01044324772162386,0.011433305716652858
ML-1M,overall,QuotaGateV6,weighted_bad_exposure,-0.07688540621443829,-0.08491882572869376,-0.06694175581134049
ML-1M,overall,QuotaGateV6,risk_weighted_miss,-0.07845123013683657,-0.08869339227380098,-0.06692971699822513
ML-1M,overall,QuotaGateV6,compliant,0.0,-0.011106048053024026,0.010289975144987558
ML-1M,overall,QuotaGateV6,hit,-0.0004971002485501243,-0.0016570008285004142,0.0006628003314001657
ML-1M,overall,QuotaGateV6,ndcg,-5.6885447089415526e-05,-0.0004877611475717666,0.000422746425794958
ML-1M,highrisk,QuotaGateV6,bad_exposure,-0.0016570008285004142,-0.0513877381938691,0.05140845070422531
ML-1M,highrisk,QuotaGateV6,weighted_bad_exposure,-0.3844270310721915,-0.4276698656781409,-0.34473352711953303
ML-1M,highrisk,QuotaGateV6,risk_weighted_miss,-0.39225615068418285,-0.4438566001442314,-0.34160840877739973
ML-1M,highrisk,QuotaGateV6,compliant,0.0,-0.05468102734051367,0.04973073736536866
ML-1M,highrisk,QuotaGateV6,hit,-0.0024855012427506215,-0.008285004142502071,0.0024855012427506215
ML-1M,highrisk,QuotaGateV6,ndcg,-0.0002844272354470776,-0.002590437391127629,0.001858879127769424
ML-20M,overall,Penalty,bad_exposure,-0.001,-0.011604999999999999,0.0092
ML-20M,overall,Penalty,weighted_bad_exposure,-0.010701102232933045,-0.012935464781463143,-0.007854434673905375
ML-20M,overall,Penalty,risk_weighted_miss,0.037322671933472155,0.03367323878388852,0.04185374582517892
ML-20M,overall,Penalty,compliant,0.0002,-0.009009999999999999,0.010604999999999996
ML-20M,overall,Penalty,hit,-0.0012,-0.0036,0.0014
ML-20M,overall,Penalty,ndcg,3.436131700411707e-05,-0.0011066161168266065,0.0010980538363981212
ML-20M,highrisk,Penalty,bad_exposure,-0.005,-0.05204999999999999,0.041
ML-20M,highrisk,Penalty,weighted_bad_exposure,-0.053505511164665225,-0.06570752732247112,-0.04220765929609538
ML-20M,highrisk,Penalty,risk_weighted_miss,-0.021587103009223937,-0.03848493899703026,-0.004773038910329348
ML-20M,highrisk,Penalty,compliant,0.001,-0.051,0.05104999999999995
ML-20M,highrisk,Penalty,hit,0.0,-0.006,0.006
ML-20M,highrisk,Penalty,ndcg,-0.0002375527033135942,-0.0025469321222461832,0.0019883972369442175
ML-20M,overall,Primal-Dual,bad_exposure,-0.0016,-0.011405,0.0084
ML-20M,overall,Primal-Dual,weighted_bad_exposure,-0.033319089183807375,-0.03770685422343016,-0.028519022275805474
ML-20M,overall,Primal-Dual,risk_weighted_miss,-0.033988938856124876,-0.039042732397913935,-0.02814825599640608
ML-20M,overall,Primal-Dual,compliant,0.0004,-0.009205,0.010249999999999955
ML-20M,overall,Primal-Dual,hit,0.0,-0.0012049999999999997,0.0014
ML-20M,overall,Primal-Dual,ndcg,2.2501067584059643e-05,-0.0005130457622689228,0.0006016894827963725
ML-20M,highrisk,Primal-Dual,bad_exposure,-0.008,-0.057025,0.04
ML-20M,highrisk,Primal-Dual,weighted_bad_exposure,-0.16659544591903688,-0.1873129339534044,-0.147374800388515
ML-20M,highrisk,Primal-Dual,risk_weighted_miss,-0.1699446942806244,-0.19646890707165005,-0.14682006864100694
ML-20M,highrisk,Primal-Dual,compliant,0.002,-0.049025,0.05602499999999998
ML-20M,highrisk,Primal-Dual,hit,0.0,-0.007,0.008
ML-20M,highrisk,Primal-Dual,ndcg,0.00011250533792029826,-0.0027877607864332044,0.0031783015380088967
ML-20M,overall,QuotaGateV6,bad_exposure,-0.0008,-0.01081,0.008809999999999991
ML-20M,overall,QuotaGateV6,weighted_bad_exposure,-0.03313069582462311,-0.03748963931518793,-0.028149585444152355
ML-20M,overall,QuotaGateV6,risk_weighted_miss,-0.033758840548992156,-0.03904726468235254,-0.027958649861514567
ML-20M,overall,QuotaGateV6,compliant,0.0,-0.009609999999999999,0.0112
ML-20M,overall,QuotaGateV6,hit,0.0,-0.0012,0.0016
ML-20M,overall,QuotaGateV6,ndcg,-2.6103560735694973e-06,-0.0005556081286112855,0.0005610420314352565
ML-20M,highrisk,QuotaGateV6,bad_exposure,-0.004,-0.055,0.044024999999999974
ML-20M,highrisk,QuotaGateV6,weighted_bad_exposure,-0.1656534791231155,-0.1867966288653016,-0.14541665886342528
ML-20M,highrisk,QuotaGateV6,risk_weighted_miss,-0.1687942027449608,-0.1941820005118847,-0.14487188666909934
ML-20M,highrisk,QuotaGateV6,compliant,0.0,-0.052,0.051
ML-20M,highrisk,QuotaGateV6,hit,0.0,-0.007,0.007
ML-20M,highrisk,QuotaGateV6,ndcg,-1.3051780367847322e-05,-0.002746411095208871,0.002720498080199362
