dataset,method,cand_n,retrieval_hit,recall,ndcg,proxy_utility,delta_recall_to_fullN,delta_ndcg_to_fullN,delta_proxy_to_fullN
ML-1M,Primal-Dual,1000,0.8720795360397681,0.0714167357083678,0.0345855815024881,10.540709040909634,0.0,0.0,0.0
ML-1M,Primal-Dual,3533,1.0,0.0714167357083678,0.0345855815024881,10.540709040909634,0.0,0.0,0.0
ML-1M,QuotaGateV6,200,0.5483015741507871,0.0714167357083678,0.0345914888790173,10.540788400834913,0.0,0.0,0.0
ML-1M,QuotaGateV6,500,0.7446561723280861,0.0714167357083678,0.0345914888790173,10.540788400834913,0.0,0.0,0.0
ML-1M,QuotaGateV6,1000,0.8720795360397681,0.0714167357083678,0.0345914888790173,10.540788400834913,0.0,0.0,0.0
ML-1M,QuotaGateV6,3533,1.0,0.0714167357083678,0.0345914888790173,10.540788400834913,0.0,0.0,0.0
ML-20M,Oracle,200,0.583,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,Oracle,500,0.7616,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,Oracle,1000,0.8624,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,Oracle,5000,0.9626,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,Oracle,10000,0.9688,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,Oracle,20720,1.0,0.0824,0.0401761893811099,9.814722079563142,0.0,0.0,0.0
ML-20M,PenaltyBisect,200,0.583,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyBisect,500,0.7616,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyBisect,1000,0.8624,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyBisect,5000,0.9626,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyBisect,10000,0.9688,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyBisect,20720,1.0,0.0834,0.0400814047427686,9.796766154646871,0.0,0.0,0.0
ML-20M,PenaltyGrid,200,0.583,0.0852,0.0415529004986479,9.381048904299735,0.0,0.0,-5.922889709353285e-06
ML-20M,PenaltyGrid,500,0.7616,0.0852,0.0415529004986479,9.381042981410026,0.0,0.0,0.0
ML-20M,PenaltyGrid,1000,0.8624,0.0852,0.0415529004986479,9.381042981410026,0.0,0.0,0.0
ML-20M,PenaltyGrid,5000,0.9626,0.0852,0.0415529004986479,9.381042981410026,0.0,0.0,0.0
ML-20M,PenaltyGrid,10000,0.9688,0.0852,0.0415529004986479,9.381042981410026,0.0,0.0,0.0
ML-20M,PenaltyGrid,20720,1.0,0.0852,0.0415529004986479,9.381042981410026,0.0,0.0,0.0
ML-20M,Primal-Dual,200,0.583,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,Primal-Dual,500,0.7616,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,Primal-Dual,1000,0.8624,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,Primal-Dual,5000,0.9626,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,Primal-Dual,10000,0.9688,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,Primal-Dual,20720,1.0,0.0822,0.0400932649921887,9.814572551727297,0.0,0.0,0.0
ML-20M,QuotaGateV6,200,0.583,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
ML-20M,QuotaGateV6,500,0.7616,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
ML-20M,QuotaGateV6,1000,0.8624,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
ML-20M,QuotaGateV6,5000,0.9626,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
ML-20M,QuotaGateV6,10000,0.9688,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
ML-20M,QuotaGateV6,20720,1.0,0.0822,0.0401183764158463,9.814512286853793,0.0,0.0,0.0
