dataset,cand_n,B,target_tau,highrisk_quantile,highrisk_threshold,method,n_test,n_highrisk,compliance_mean,violation_rate,hit_mean,recall_mean,ndcg_mean,served_risk_mean,served_risk_p95,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_recall_mean,highrisk_ndcg_mean,highrisk_served_risk_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean
Amazon-VideoGames,17286,1.4568411111831665,0.9,0.8,1.4568411111831665,Penalty,5000,1000,0.9,0.09999999999999998,0.0566,0.0566,0.028091016541037378,0.7524600603461266,1.8290969014167786,0.0992,0.05404387686252594,0.7235676751092076,0.5,0.021,0.021,0.010228589876120516,1.58565105548501,0.496,0.2702193843126297,1.5596422224640847
Amazon-VideoGames,17286,1.4568411111831665,0.9,0.8,1.4568411111831665,Primal-Dual,5000,1000,0.902,0.09799999999999998,0.0566,0.0566,0.02807601073393515,0.9410219752863049,2.5959435343742374,0.0968,0.1384195702791214,0.907288742056489,0.51,0.019,0.019,0.008570476273165841,2.1063352019786836,0.484,0.692097851395607,2.0756907645463945
Amazon-VideoGames,17286,1.4568411111831665,0.9,0.8,1.4568411111831665,QuotaGateV6,5000,1000,0.9006,0.09940000000000004,0.0566,0.0566,0.02807601073393515,0.9400579539254308,2.5909743547439583,0.0984,0.13725502064228057,0.9063813670188189,0.503,0.019,0.019,0.008570476273165841,2.1015150951743125,0.492,0.686275103211403,2.0711538893580435
ML-1M,3533,2.347123050689697,0.9,0.8,2.347123050689697,Penalty,6035,1207,0.9000828500414251,0.09991714995857492,0.07141673570836786,0.07141673570836786,0.03532821347380057,1.3526033755771465,2.6677314281463627,0.09726594863297432,0.04412744188664271,1.2782664800354442,0.5004142502071252,0.029826014913007456,0.029826014913007456,0.012885236088028698,2.397374942812331,0.4863297431648716,0.22063720943321352,2.3311463791472713
ML-1M,3533,2.347123050689697,0.9,0.8,2.347123050689697,Primal-Dual,6035,1207,0.899751449875725,0.10024855012427503,0.07141673570836786,0.07141673570836786,0.034585581502488166,1.5807092022913096,3.2209561586380007,0.09809444904722453,0.09987705699253795,1.495546075480727,0.4987572493786247,0.02899751449875725,0.02899751449875725,0.012213353583719585,2.793605147557705,0.4904722452361226,0.4993852849626897,2.7190758511362336
ML-1M,3533,2.347123050689697,0.9,0.8,2.347123050689697,QuotaGateV6,6035,1207,0.9000828500414251,0.09991714995857492,0.07141673570836786,0.07141673570836786,0.03459148887901735,1.5810441663703252,3.222679424285889,0.09743164871582435,0.10023582438743106,1.495685232326376,0.5004142502071252,0.02899751449875725,0.02899751449875725,0.012242890466365485,2.795279967952782,0.4871582435791218,0.5011791219371553,2.7197716353644785
ML-20M,20720,0.9630447268486023,0.9,0.8,0.9630447268486023,Penalty,5000,1000,0.9,0.09999999999999998,0.0834,0.0834,0.040081404742768674,0.6179762585505844,1.0996452093124391,0.0968,0.019060234694480895,0.5760260943174362,0.5,0.039,0.039,0.01665502856701844,0.996437988936901,0.484,0.09530117347240448,0.958416651070118
ML-20M,20720,0.9630447268486023,0.9,0.8,0.9630447268486023,Primal-Dual,5000,1000,0.8998,0.10019999999999996,0.0822,0.0822,0.04009326499218873,0.6931792589783669,1.310776549577713,0.0974,0.04167822164535522,0.6473377051070333,0.499,0.039,0.039,0.016304970525784546,1.147894553720951,0.487,0.20839110822677614,1.1067742423415183
ML-20M,20720,0.9630447268486023,0.9,0.8,0.9630447268486023,QuotaGateV6,5000,1000,0.9002,0.0998,0.0822,0.0822,0.04011837641584636,0.6930342493653298,1.310646891593933,0.0966,0.04148982828617096,0.6471076067999005,0.501,0.039,0.039,0.0164305276440727,1.1471695056557656,0.483,0.2074491414308548,1.1056237508058548
