dataset,method,cand_n,B,target_tau,highrisk_threshold,B_table,B_record,B_source,compliance_mean,hit_mean,recall_mean,ndcg_mean,served_risk_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_ndcg_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean,alpha
ML-1M,OCQuota(alpha=0.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.0820215410107705,0.0820215410107705,0.0401033250747536,1.5810441663703252,0.09660314830157415,0.0992265310658832,1.481780073740508,0.5004142502071252,0.03396851698425849,0.018493418692575404,0.48301574150787074,0.49613265532941586,2.7021900828258008,0.0
ML-1M,OCQuota(alpha=0.05),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.0820215410107705,0.0820215410107705,0.0401033250747536,1.579114029306514,0.09660314830157415,0.0972375814126559,1.479849936676697,0.5004142502071252,0.03396851698425849,0.018493418692575404,0.48301574150787074,0.4861879070632795,2.6925393975067453,0.05
ML-1M,OCQuota(alpha=0.1),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.0820215410107705,0.0820215410107705,0.04007014310366858,1.5766619612028407,0.09676884838442419,0.09464929807452793,1.4775594362515305,0.5004142502071252,0.03396851698425849,0.01832750883715033,0.48384424192212094,0.4732464903726396,2.681086895380913,0.1
ML-1M,OCQuota(alpha=0.25),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08169014084507042,0.08169014084507042,0.03991339298971696,1.562853247607505,0.09676884838442419,0.08062709504153577,1.4649328125589824,0.5004142502071252,0.03231151615575808,0.017543758267392184,0.48384424192212094,0.40313547520767884,2.6179537769181724,0.25
ML-1M,OCQuota(alpha=0.5),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08218724109362055,0.08218724109362055,0.04012241565988826,1.5331857653657266,0.09676884838442419,0.052233285856523495,1.4346657739213013,0.5004142502071252,0.0347970173985087,0.018588871618248695,0.48384424192212094,0.2611664292826175,2.4666185837297667,0.5
ML-1M,OCQuota(alpha=1.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08235294117647059,0.08235294117647059,0.04023392440140538,1.5087702171841533,0.0956089478044739,0.029867059917813413,1.4099887264644004,0.5004142502071252,0.035625517812758904,0.019146415325834276,0.4780447390223695,0.14933529958906708,2.3432333464452624,1.0
ML-1M,OCQuota(alpha=2.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08285004142502071,0.08285004142502071,0.040476030684187876,1.501484900642597,0.09511184755592378,0.02331760257951663,1.4019271841153884,0.5004142502071252,0.03811101905550953,0.02035694673974681,0.4755592377796189,0.11658801289758314,2.302925634700203,2.0
ML-1M,OCQuota(alpha=4.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08285004142502071,0.08285004142502071,0.040476030684187876,1.5004445705751102,0.09511184755592378,0.022442133349629606,1.4008868540479016,0.5004142502071252,0.03811101905550953,0.02035694673974681,0.4755592377796189,0.11221066674814804,2.297723984362769,4.0
ML-1M,OCQuota(alpha=8.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08285004142502071,0.08285004142502071,0.040476030684187876,1.5004202638306001,0.09494614747307374,0.022534913637466243,1.400786259204964,0.5004142502071252,0.03811101905550953,0.02035694673974681,0.4747307373653687,0.11267456818733124,2.297221010148081,8.0
ML-1M,OCQuota(alpha=16.0),3533,2.347123050689697,0.9,2.347123050689697,2.347123050689697,0.0,cand_table,0.9000828500414251,0.08285004142502071,0.08285004142502071,0.040476030684187876,1.5001970668654354,0.09494614747307374,0.02237031877386541,1.4005630622397993,0.5004142502071252,0.03811101905550953,0.02035694673974681,0.4747307373653687,0.11185159386932707,2.2961050253222575,16.0
