dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.11351784997994384,0.05629247103017127,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.4986,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.1139189731247493,0.05642239636087271,0.8704,0.9310437744215131,2.3563553452491766,5.992026517558098,0.4986,0.05728953094482403,0.04799348349571275,,,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.11432009626955475,0.05689366394892909,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.4986,0.12057082591056822,0.11127477846145695,,,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.1139189731247493,0.05635427294426958,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.4986,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.11351784997994384,0.05633978447861488,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.4986,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.1139189731247493,0.0564362288593909,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.4986,0.009296047449111278,0.0,,,0.0,499.0,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.11351784997994384,0.056309688595938934,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.4986,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.07609572465716591,0.037735178886318096,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.7438,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.07636461414358699,0.03782227322604347,0.885,0.9140139094188809,2.2087602138519298,5.9481616854429245,0.7438,0.10115436305999737,0.09185831561088609,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.07663350363000807,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,0.12057082591056822,0.11127477846145695,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.07636461414358699,0.037776607273477834,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.07609572465716591,0.03776689505382815,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.7438,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.07636461414358699,0.037831545723705694,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.7438,0.009296047449111278,0.0,,,0.0,499.0,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.07609572465716591,0.037746720535002894,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.7438,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.06706161137440758,0.03325524414175759,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.844,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.06729857819905213,0.033331998608449216,0.9464,0.8696330035045743,1.6271515846252445,5.819668685555458,0.844,0.22964736294746402,0.22035131549835274,,,,,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.06753554502369669,0.033610403844710965,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.844,0.12057082591056822,0.11127477846145695,,,,,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.06729857819905213,0.03329175413508627,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.844,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.06706161137440758,0.033283194953835755,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.844,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.06729857819905213,0.03334017027167334,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.844,0.009296047449111278,0.0,,,0.0,499.0,,
Amazon-VideoGames,10000,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.06706161137440758,0.03326541556153454,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.844,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.0566,0.028067426055643403,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,1.0,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.0568,0.028132206825531136,1.0,0.809220126350224,1.4565676271915435,5.661136899542808,1.0,0.38817914896011363,0.37888310151100235,,,,,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.057,0.028367180844936054,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,1.0,0.12057082591056822,0.11127477846145695,,,,,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.0568,0.02809824049001281,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,1.0,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.0566,0.028091016541037378,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,1.0,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.0568,0.0281391037092923,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,1.0,0.009296047449111278,0.0,,,0.0,499.0,,
Amazon-VideoGames,17286,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.0566,0.02807601073393515,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,1.0,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
