exceed,du,density,miss_if_violate,weighted_bad_if_violate,ndcg_if_violate,exceed_bin,density_bin
0.9598482608795167,0.39266300201416016,0.40908862162688076,0.0,0.0,0.2890648263178879,3,3
0.21634325981140146,0.06284713745117188,0.2904973212752699,1.0,0.21634325981140146,0.0,1,2
1.0683868885040284,0.40372562408447266,0.37788335707655063,1.0,1.0683868885040284,0.0,4,3
0.023000574111938565,0.03495597839355469,1.5197872115466287,1.0,0.023000574111938565,0.0,0,4
0.03990802764892587,0.02828693389892578,0.7088031046727795,1.0,0.03990802764892587,0.0,0,4
0.6259029865264893,0.21648788452148438,0.3458808939751276,1.0,0.6259029865264893,0.0,2,2
0.3061951160430909,0.11852550506591797,0.3870914291436244,1.0,0.3061951160430909,0.0,1,3
1.214757776260376,0.2167377471923828,0.1784205472300894,1.0,1.214757776260376,0.0,4,1
0.7477897167205811,0.2074880599975586,0.27746845852266316,1.0,0.7477897167205811,0.0,3,2
1.5079041481018067,0.3716878890991211,0.2464930476960439,1.0,1.5079041481018067,0.0,4,1
0.032811975479126065,0.0022306442260742188,0.06798262504777512,1.0,0.032811975479126065,0.0,0,0
0.5373972415924073,0.21205520629882812,0.3945967524330221,1.0,0.5373972415924073,0.0,2,3
0.2184556484222413,0.01724529266357422,0.07894184832539422,1.0,0.2184556484222413,0.0,1,0
0.25480804443359384,0.019845008850097656,0.07788219125581615,1.0,0.25480804443359384,0.0,1,0
0.45566353797912607,0.06597423553466797,0.1447871730691128,0.0,0.0,0.2890648263178879,2,1
0.5518294334411622,0.17148590087890625,0.31075888759599957,1.0,0.5518294334411622,0.0,2,2
1.2462347507476808,0.49431705474853516,0.39664842795626487,1.0,1.2462347507476808,0.0,4,3
0.11422667503356942,0.0020017623901367188,0.01752447394225939,1.0,0.11422667503356942,0.0,0,0
0.8364020347595216,0.7373275756835938,0.8815468459442315,1.0,0.8364020347595216,0.0,3,4
0.09834322929382333,0.023103713989257812,0.23492938105815175,1.0,0.09834322929382333,0.0,0,1
