exceed,du,density,miss_if_violate,weighted_bad_if_violate,ndcg_if_violate,exceed_bin,density_bin
0.11434308290481554,0.00010204315185546875,0.000892429601014118,1.0,0.11434308290481554,0.0,1,0
0.9943002820014952,0.516057014465332,0.5190152550560737,1.0,0.9943002820014952,0.0,4,2
0.3269654870033263,0.07505989074707031,0.22956517960045952,0.0,0.0,0.3333333333333333,3,1
0.22654680013656603,0.15188217163085938,0.6704229392748093,1.0,0.22654680013656603,0.0,2,3
0.01664570569992052,0.01512908935546875,0.9088884321402478,1.0,0.01664570569992052,0.0,0,3
0.17297486066818224,0.05547046661376953,0.32068513539767235,1.0,0.17297486066818224,0.0,2,1
0.29849842786788927,0.09495735168457031,0.31811675646947446,1.0,0.29849842786788927,0.0,3,1
0.4915867209434508,0.6808490753173828,1.3850029838289786,1.0,0.4915867209434508,0.0,4,4
0.023679828643798695,0.051967620849609375,2.1945944639772015,1.0,0.023679828643798695,0.0,0,4
0.13939527273178087,0.1022939682006836,0.7338410133714778,1.0,0.13939527273178087,0.0,2,3
0.3483754754066466,0.2356281280517578,0.6763625590369623,1.0,0.3483754754066466,0.0,3,3
0.06497315168380724,0.047148704528808594,0.7256644214868694,1.0,0.06497315168380724,0.0,1,3
0.11237994432449327,0.00555419921875,0.04942340247751359,1.0,0.11237994432449327,0.0,1,0
0.7465726494789122,0.8624353408813477,1.1551927886499787,0.0,0.0,0.3010299956639812,4,4
0.8561820149421691,0.13998794555664062,0.16350255332809827,1.0,0.8561820149421691,0.0,4,0
0.2813830733299254,0.028726577758789062,0.10209063899556875,1.0,0.2813830733299254,0.0,3,0
0.37143043279647814,0.20621013641357422,0.5551783542910851,1.0,0.37143043279647814,0.0,3,2
0.18462601900100695,0.16736507415771484,0.9065086008099543,1.0,0.18462601900100695,0.0,2,3
0.10195974111556994,0.012736320495605469,0.12491519060615335,1.0,0.10195974111556994,0.0,1,0
0.014561629295348988,0.007119178771972656,0.48889987703824705,1.0,0.014561629295348988,0.0,0,2
0.2386638283729552,0.3236856460571289,1.3562409027953404,1.0,0.2386638283729552,0.0,3,4
0.27436271905899035,0.08501243591308594,0.30985418210120425,1.0,0.27436271905899035,0.0,3,1
0.08851388692855822,0.02892160415649414,0.32674651583019393,1.0,0.08851388692855822,0.0,1,1
0.19719556570053087,0.07952690124511719,0.4032895007684399,1.0,0.19719556570053087,0.0,2,1
0.3931951880455016,0.15896224975585938,0.4042833040404957,1.0,0.3931951880455016,0.0,3,1
0.19126120805740343,0.03493213653564453,0.1826409907709059,1.0,0.19126120805740343,0.0,2,0
0.08313325643539415,0.07383012771606445,0.8880937771689541,1.0,0.08313325643539415,0.0,1,3
0.2587504744529723,0.02517223358154297,0.09728381613506183,1.0,0.2587504744529723,0.0,3,0
0.8318580746650694,0.8581018447875977,1.0315483745626857,1.0,0.8318580746650694,0.0,4,4
0.05903009176254259,0.0853738784790039,1.446277244874244,1.0,0.05903009176254259,0.0,0,4
0.07070127725601183,0.022186279296875,0.313803090381772,1.0,0.07070127725601183,0.0,1,1
0.022405362129211293,0.005139350891113281,0.22938039838297383,1.0,0.022405362129211293,0.0,0,1
0.03937760591506945,0.01456451416015625,0.36986794452586425,1.0,0.03937760591506945,0.0,0,1
0.7546869874000548,0.7555599212646484,1.001156683339143,1.0,0.7546869874000548,0.0,4,4
0.14609304666519152,0.1065988540649414,0.7296641181646321,1.0,0.14609304666519152,0.0,2,3
0.2371631026268004,0.04766082763671875,0.20096223699568383,1.0,0.2371631026268004,0.0,3,0
0.2160231232643126,0.17537975311279297,0.8118563904763523,1.0,0.2160231232643126,0.0,2,3
0.0364904165267943,0.006834983825683594,0.1873090108649426,1.0,0.0364904165267943,0.0,0,0
0.06956616640090929,0.019289016723632812,0.27727583280168633,1.0,0.06956616640090929,0.0,1,1
0.2832744479179381,0.0907440185546875,0.3203395831203779,1.0,0.2832744479179381,0.0,3,1
0.19687453508377062,0.0889291763305664,0.45170481948174157,1.0,0.19687453508377062,0.0,2,2
0.2747816205024718,0.041037559509277344,0.1493460859362979,1.0,0.2747816205024718,0.0,3,0
0.23045591115951525,0.15946197509765625,0.6919413535341302,1.0,0.23045591115951525,0.0,2,3
0.04642645120620714,0.026261329650878906,0.5656544699967895,0.0,0.0,0.3333333333333333,0,2
0.39908567667007433,0.1566934585571289,0.39263112588896043,1.0,0.39908567667007433,0.0,3,1
0.3036942839622496,0.13851642608642578,0.45610481790840657,1.0,0.3036942839622496,0.0,3,2
0.004091060161590443,0.0045299530029296875,1.1072809550589988,1.0,0.004091060161590443,0.0,0,4
0.24317566156387316,0.02212810516357422,0.09099638105749326,1.0,0.24317566156387316,0.0,3,0
0.2110526919364928,0.043053627014160156,0.2039946831245123,1.0,0.2110526919364928,0.0,2,0
0.38094869852066027,0.1792755126953125,0.4706027698519351,1.0,0.38094869852066027,0.0,3,2
0.11039153337478624,0.045828819274902344,0.41514795450218633,1.0,0.11039153337478624,0.0,1,1
0.04685894250869738,0.058071136474609375,1.2392754374222366,1.0,0.04685894250869738,0.0,0,4
0.0587798714637755,0.05743217468261719,0.9770721380023966,1.0,0.0587798714637755,0.0,0,4
0.10429373979568468,0.03885459899902344,0.37254967628106006,0.0,0.0,0.3010299956639812,1,1
0.020246839523315296,0.02826404571533203,1.3959732175870956,1.0,0.020246839523315296,0.0,0,4
0.03878573179244982,0.011671066284179688,0.30091133375113016,1.0,0.03878573179244982,0.0,0,1
0.2919609904289244,0.19512176513671875,0.6683145061607797,1.0,0.2919609904289244,0.0,3,3
0.27058843374252306,0.14356613159179688,0.5305700971993742,1.0,0.27058843374252306,0.0,3,2
0.2566495299339293,0.11062812805175781,0.43104746024758905,1.0,0.2566495299339293,0.0,3,2
0.19334510564804064,0.00766754150390625,0.039657282651178155,1.0,0.19334510564804064,0.0,2,0
