dataset,cand_n,target_tau,comparator,quota_minus_comp_hit_mean,quota_minus_comp_hit_ci_low,quota_minus_comp_hit_ci_high,quota_minus_comp_ndcg_mean,quota_minus_comp_ndcg_ci_low,quota_minus_comp_ndcg_ci_high,quota_minus_comp_compliance_mean,quota_minus_comp_compliance_ci_low,quota_minus_comp_compliance_ci_high,quota_minus_comp_risk_mean,quota_minus_comp_risk_ci_low,quota_minus_comp_risk_ci_high
Amazon-VideoGames,17286,0.9,Penalty,0.0,-0.002,0.0022049999999999956,-1.5005807102224766e-05,-0.0008366818096303743,0.0009332356350846355,0.0006,-0.0044,0.006,0.18759789357930423,0.17734878358609976,0.19883478464998305
Amazon-VideoGames,17286,0.9,Primal-Dual,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,-0.005005,0.0022049999999999956,-0.000964021360874176,-0.0037693730467557906,0.0017059604054689404
ML-1M,3533,0.9,Penalty,0.0,-0.0024855012427506215,0.002982601491300746,-0.0007367245947832265,-0.0017073354796329821,0.00046754942842007756,0.0,-0.004142502071251036,0.0036454018227009112,0.2284407907931787,0.22157332838507557,0.234712728398984
ML-1M,3533,0.9,Primal-Dual,0.0,0.0,0.0,5.907376529180408e-06,-5.921609460680878e-06,2.660454377856254e-05,0.00033140016570008286,-0.00231980115990058,0.0028169014084507044,0.00033496407901539523,-0.0013478991189275582,0.002091649051727888
ML-20M,20720,0.9,Penalty,-0.0012,-0.0036,0.0014,3.6971673077686606e-05,-0.0010631141473695465,0.0010958647066475374,0.0002,-0.004804999999999999,0.004419999999999982,0.07505799081474543,0.07150218101143838,0.07873135640215127
ML-20M,20720,0.9,Primal-Dual,0.0,-0.0008,0.0008,2.511142365762914e-05,-0.0002483872979798341,0.00030484589358516776,0.0004,-0.0024,0.0032049999999999956,-0.00014500961303710936,-0.0010210427662730216,0.0008433643925189958
