dataset,method,sec_total,ms_per_user,quota_ms,overhead_vs_quota
Amazon-VideoGames,Penalty,0.5236302819103003,0.10472605638206005,0.4035008268430829,0.2595435979683553
Amazon-VideoGames,Primal-Dual,1.9114615842700005,0.3822923168540001,0.4035008268430829,0.9474387446612828
Amazon-VideoGames,QuotaGateV6,2.0175041342154145,0.4035008268430829,0.4035008268430829,1.0
Amazon-VideoGames,OC-Quota,2.585011581890285,0.517002316378057,0.4035008268430829,1.2812918387875165
ML-1M,Penalty,0.2768578175455332,0.0458753633049765,0.1930959891549496,0.23757802275304576
ML-1M,Primal-Dual,0.9264711933210492,0.1535163534914746,0.1930959891549496,0.7950261119524633
ML-1M,QuotaGateV6,1.1653342945501208,0.1930959891549496,0.1930959891549496,1.0
ML-1M,OC-Quota,1.8615511814132333,0.30845918498976527,0.1930959891549496,1.5974396275121108
ML-20M,Penalty,0.6250552739948034,0.12501105479896069,0.4654478501528502,0.2685823014499
ML-20M,Primal-Dual,2.313459566794336,0.46269191335886717,0.4654478501528502,0.9940789568733039
ML-20M,QuotaGateV6,2.3272392507642508,0.4654478501528502,0.4654478501528502,1.0
ML-20M,OC-Quota,2.91451667342335,0.5829033346846699,0.4654478501528502,1.2523493974529007
