dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-1M,47,mu,0.9995176792144777,0.852,0.148,3.451245784759521,5.50549840927124,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995176792144777,,,,
ML-1M,48,mu,0.9995160102844238,0.852,0.148,3.450618267059326,5.503678798675537,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9995160102844238,,,,
ML-1M,49,mu,0.999521553516388,0.852,0.148,3.449957132339477,5.49673318862915,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999521553516388,,,,
ML-1M,0,penalty,0.9790246486663818,0.8835,0.1165,3.4949984550476074,5.059508800506592,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9790246486663818,,,,
ML-1M,1,penalty,0.9867482781410216,0.8925,0.1075,3.4474687576293945,5.273777961730957,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9867482781410216,,,,
ML-1M,2,penalty,0.991348385810852,0.8965,0.1035,3.428558826446533,5.42097806930542,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.991348385810852,,,,
ML-1M,3,penalty,0.9941306710243224,0.898,0.102,3.413104057312012,5.444823265075684,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9941306710243224,,,,
ML-1M,4,penalty,0.9958956837654114,0.9,0.1,3.401792049407959,5.443484306335449,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9958956837654114,,,,
ML-1M,5,penalty,0.9969721436500548,0.901,0.099,3.3932504653930664,5.458378314971924,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9969721436500548,,,,
ML-1M,6,penalty,0.9976693987846376,0.904,0.096,3.3834481239318848,5.453912258148193,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9976693987846376,,,,
ML-1M,7,penalty,0.9981536865234376,0.905,0.095,3.37652325630188,5.461072444915772,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9981536865234376,,,,
ML-1M,8,penalty,0.9985183477401732,0.9065,0.0935,3.3700783252716064,5.46307373046875,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9985183477401732,,,,
ML-1M,9,penalty,0.9987106919288636,0.907,0.093,3.366067886352539,5.4644951820373535,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9987106919288636,,,,
ML-1M,10,penalty,0.9989075660705566,0.908,0.092,3.36111068725586,5.466148376464844,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9989075660705566,,,,
ML-1M,11,penalty,0.9990320801734924,0.908,0.092,3.357778787612915,5.454977035522461,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9990320801734924,,,,
ML-1M,12,penalty,0.999154806137085,0.9085,0.0915,3.353874444961548,5.454892158508301,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999154806137085,,,,
ML-1M,13,penalty,0.9991992115974426,0.9085,0.0915,3.3498778343200684,5.45599365234375,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9991992115974426,,,,
ML-1M,14,penalty,0.9992639422416688,0.9085,0.0915,3.347102642059326,5.454977989196777,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9992639422416688,,,,
ML-1M,15,penalty,0.999319553375244,0.9085,0.0915,3.345076084136963,5.454975128173828,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999319553375244,,,,
ML-1M,16,penalty,0.9993358850479126,0.9085,0.0915,3.343356132507324,5.454915523529053,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993358850479126,,,,
ML-1M,17,penalty,0.9993939399719238,0.9085,0.0915,3.34097957611084,5.456753253936768,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993939399719238,,,,
ML-1M,18,penalty,0.9993994235992432,0.909,0.091,3.3383562564849854,5.461221218109131,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9993994235992432,,,,
ML-1M,19,penalty,0.9994243383407592,0.909,0.091,3.336517572402954,5.456676959991455,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994243383407592,,,,
ML-1M,20,penalty,0.9994345903396606,0.909,0.091,3.334403276443481,5.454892158508301,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994345903396606,,,,
ML-1M,21,penalty,0.9994571805000304,0.909,0.091,3.332103967666626,5.454892158508301,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994571805000304,,,,
ML-1M,22,penalty,0.9994797706604004,0.9095,0.0905,3.3301169872283936,5.454892158508301,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994797706604004,,,,
ML-1M,23,penalty,0.999483048915863,0.909,0.091,3.328835248947144,5.454892158508301,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.999483048915863,,,,
ML-1M,24,penalty,0.9994927048683168,0.909,0.091,3.326606512069702,5.454941749572754,4.059373378753662,0.9,1000.0,0.2284348011016845,,,,,,,0.9994927048683168,,,,
