dataset,cand_n,B,target_tau,method,n_test,compliance_mean,tau_tracking_mae,violation_rate,hit_mean,recall_mean,ndcg_mean,proxy_utility_mean,risk_mean,risk_p95
Amazon-VideoGames,17286,1.4568411111831665,0.9,Penalty,5000,0.9,0.18,0.09999999999999998,0.0566,0.0566,0.028091016541037378,5.974734331798554,0.7524600603461266,1.8290969014167786
Amazon-VideoGames,17286,1.4568411111831665,0.9,Primal-Dual,5000,0.902,0.1784,0.09799999999999998,0.0566,0.0566,0.02807601073393515,6.03598250939846,0.9410219752863049,2.5959435343742374
Amazon-VideoGames,17286,1.4568411111831665,0.9,QuotaGateV6,5000,0.9006,0.17951999999999999,0.09940000000000004,0.0566,0.0566,0.02807601073393515,6.035571497511864,0.9400579539254308,2.5909743547439583
ML-1M,3533,2.347123050689697,0.9,Penalty,6035,0.9000828500414251,0.17993371996686,0.09991714995857492,0.07141673570836786,0.07141673570836786,0.03532821347380057,10.503240027423722,1.3526033755771465,2.6677314281463627
ML-1M,3533,2.347123050689697,0.9,Primal-Dual,6035,0.899751449875725,0.18019884009942005,0.10024855012427503,0.07141673570836786,0.07141673570836786,0.034585581502488166,10.540709040909634,1.5807092022913096,3.2209561586380007
ML-1M,3533,2.347123050689697,0.9,QuotaGateV6,6035,0.9000828500414251,0.17993371996686,0.09991714995857492,0.07141673570836786,0.07141673570836786,0.03459148887901735,10.540790760131937,1.5810441663703252,3.222679424285889
ML-20M,20720,0.9630447268486023,0.9,Penalty,5000,0.9,0.18,0.09999999999999998,0.0834,0.0834,0.040081404742768674,9.796766154646873,0.6179762585505844,1.0996452093124391
ML-20M,20720,0.9630447268486023,0.9,Primal-Dual,5000,0.8998,0.18016,0.10019999999999996,0.0822,0.0822,0.04009326499218873,9.814572551727295,0.6931792589783669,1.310776549577713
ML-20M,20720,0.9630447268486023,0.9,QuotaGateV6,5000,0.9002,0.17984,0.0998,0.0822,0.0822,0.04011837641584636,9.814512286853791,0.6930342493653298,1.310646891593933
