bucket,risk_mean,risk_min,risk_max,n,hit_mean,recall_mean,ndcg_mean,violation_rate,retrieval_hit_mean,dataset
0,0.1945697180777788,0.08738858252763748,0.255270779132843,500,0.11,0.11,0.0549135534126322,0.0,1.0,Amazon-VideoGames
1,0.3013264829516411,0.25547412037849426,0.34412682056427,500,0.082,0.082,0.04124698362918549,0.0,1.0,Amazon-VideoGames
2,0.39767396640777586,0.3441958427429199,0.45556414127349854,500,0.088,0.088,0.04455534315247041,0.0,1.0,Amazon-VideoGames
3,0.5189994189143181,0.45569178462028503,0.5805547833442688,500,0.064,0.064,0.03253982037221305,0.0,1.0,Amazon-VideoGames
4,0.6488621673583984,0.5808582305908203,0.722554087638855,500,0.062,0.062,0.03207871427749283,0.0,1.0,Amazon-VideoGames
5,0.8132949562072754,0.7230409979820251,0.9187878370285034,500,0.062,0.062,0.02892063116457192,0.0,1.0,Amazon-VideoGames
6,1.0291889204978943,0.9189766049385071,1.1447161436080933,500,0.028,0.028,0.013727544975350425,0.0,1.0,Amazon-VideoGames
7,1.2936337184906006,1.145259976387024,1.4568016529083252,500,0.032,0.032,0.01563656380910356,0.0,1.0,Amazon-VideoGames
8,1.6837941875457765,1.4569989442825317,1.995225429534912,500,0.032,0.032,0.014795280160259938,1.0,1.0,Amazon-VideoGames
9,2.94727281832695,1.9968059062957764,12.696023941040039,500,0.006,0.006,0.0022598256031542106,1.0,1.0,Amazon-VideoGames
0,0.44485526737935893,0.11283623427152634,0.5950956344604492,604,0.12251655629139073,0.12251655629139073,0.05613882195242339,0.0,1.0,ML-1M
1,0.7197867891879421,0.5962024331092834,0.8361138105392456,603,0.11774461028192372,0.11774461028192372,0.06176145258288088,0.0,1.0,ML-1M
2,0.9362617144916231,0.8363249897956848,1.0431275367736816,604,0.11920529801324503,0.11920529801324503,0.05776611227076846,0.0,1.0,ML-1M
3,1.1392564807167496,1.0432803630828857,1.2405571937561035,603,0.06965174129353234,0.06965174129353234,0.04003262196912816,0.0,1.0,ML-1M
4,1.354441766115214,1.2406891584396362,1.4734965562820435,604,0.08443708609271523,0.08443708609271523,0.04052761404450838,0.0,1.0,ML-1M
5,1.600534656549963,1.4735400676727295,1.7227346897125244,603,0.05804311774461028,0.05804311774461028,0.026344281407108382,0.0,1.0,ML-1M
6,1.8588561719132102,1.7228038311004639,2.0125744342803955,603,0.05306799336650083,0.05306799336650083,0.023165048222395485,0.0,1.0,ML-1M
7,2.1662340689179125,2.014055013656616,2.347041606903076,604,0.03145695364238411,0.03145695364238411,0.015677574034475714,0.0,1.0,ML-1M
8,2.5677720515882196,2.3474488258361816,2.838549852371216,603,0.028192371475953566,0.028192371475953566,0.012351755904456519,1.0,1.0,ML-1M
9,3.420392060516686,2.839036226272583,6.264155864715576,604,0.02152317880794702,0.02152317880794702,0.009187038917706628,1.0,1.0,ML-1M
0,0.24788065564632417,0.08884168416261673,0.32648831605911255,500,0.17,0.17,0.08083247955176705,0.0,1.0,ML-20M
1,0.3756905428171158,0.3270411789417267,0.42208608984947205,500,0.12,0.12,0.056051556863029615,0.0,1.0,ML-20M
2,0.4617654684782028,0.4221488833427429,0.5007665753364563,500,0.102,0.102,0.05702952777915193,0.0,1.0,ML-20M
3,0.5388298543691635,0.5008938908576965,0.5761462450027466,500,0.09,0.09,0.04057686732304435,0.0,1.0,ML-20M
4,0.6179950965642929,0.576350212097168,0.6611436009407043,500,0.056,0.056,0.02567969619380284,0.0,1.0,ML-20M
5,0.70218960916996,0.6612057685852051,0.7440345287322998,500,0.088,0.088,0.04633915214259044,0.0,1.0,ML-20M
6,0.7916994969844818,0.744192361831665,0.8414902687072754,500,0.08,0.08,0.04076274342510682,0.0,1.0,ML-20M
7,0.8999527583122253,0.8421235084533691,0.9630328416824341,500,0.038,0.038,0.02105068559182517,0.0,1.0,ML-20M
8,1.0430879982709884,0.9630922675132751,1.1450293064117432,500,0.04,0.04,0.017299792810576444,1.0,1.0,ML-20M
9,1.4161416964530944,1.1455745697021484,4.966771125793457,500,0.026,0.026,0.011665076537329256,1.0,1.0,ML-20M
