exceed,du,density,miss_if_violate,weighted_bad_if_violate,ndcg_if_violate,exceed_bin,density_bin
1.7024227380752563,2.096620559692383,1.2315510788247594,1.0,1.7024227380752563,0.0,4,4
0.13665258884429932,0.15185070037841797,1.1112171504590758,1.0,0.13665258884429932,0.0,0,4
1.0122402906417847,0.45270299911499023,0.44722878875722843,1.0,1.0122402906417847,0.0,3,1
1.3748916387557983,0.9457912445068359,0.6879023901568891,1.0,1.3748916387557983,0.0,3,3
1.4264546632766724,0.2368011474609375,0.1660067813981467,1.0,1.4264546632766724,0.0,4,0
1.1827806234359741,1.5088081359863281,1.2756449557004452,1.0,1.1827806234359741,0.0,3,4
0.9495288133621216,0.5765438079833984,0.6071893763201919,1.0,0.9495288133621216,0.0,3,2
0.058425068855285645,0.005036830902099609,0.08621009783617796,1.0,0.058425068855285645,0.0,0,0
2.5247002840042114,3.257221221923828,1.290141741798289,1.0,2.5247002840042114,0.0,4,4
1.3561393022537231,0.6383135318756104,0.47068433959167627,1.0,1.3561393022537231,0.0,3,2
0.44466984272003174,0.14522933959960938,0.3266003799835986,1.0,0.44466984272003174,0.0,2,1
0.07050800323486328,0.025682449340820312,0.3642487116713781,0.0,0.0,0.43067655807339306,0,1
0.1615046262741089,0.027733802795410156,0.17172141402525393,1.0,0.1615046262741089,0.0,1,0
0.23908543586730957,0.038466453552246094,0.16088999069602322,1.0,0.23908543586730957,0.0,1,0
1.282340407371521,1.389073371887207,1.0832329418164885,1.0,1.282340407371521,0.0,3,4
0.6116482019424438,0.2428750991821289,0.3970829938039832,1.0,0.6116482019424438,0.0,2,1
0.5475929975509644,1.0400409698486328,1.8992955981907647,1.0,0.5475929975509644,0.0,2,4
0.8982709646224976,0.9415645599365234,1.0481965876880148,1.0,0.8982709646224976,0.0,3,4
0.15899395942687988,0.17547130584716797,1.1036350467633074,1.0,0.15899395942687988,0.0,1,4
0.14291441440582275,0.01592278480529785,0.11141482733913165,1.0,0.14291441440582275,0.0,0,0
0.26876044273376465,0.2655668258666992,0.988117236172925,1.0,0.26876044273376465,0.0,1,4
1.1067875623703003,1.3049583435058594,1.179050422929542,1.0,1.1067875623703003,0.0,3,4
0.7160121202468872,0.9896078109741211,1.3821104182327189,1.0,0.7160121202468872,0.0,2,4
0.10715782642364502,0.00567626953125,0.05297111485640863,1.0,0.10715782642364502,0.0,0,0
0.4206702709197998,0.09794139862060547,0.23282224913696803,1.0,0.4206702709197998,0.0,2,0
1.2162672281265259,1.4368724822998047,1.1813789347206924,1.0,1.2162672281265259,0.0,3,4
0.6869765520095825,0.9794578552246094,1.4257515083439807,1.0,0.6869765520095825,0.0,2,4
0.046730637550354004,0.026391983032226562,0.5647683065267025,1.0,0.046730637550354004,0.0,0,2
0.8035446405410767,1.2751855850219727,1.5869505198408278,1.0,0.8035446405410767,0.0,3,4
0.48332226276397705,0.1473531723022461,0.30487561541149977,1.0,0.48332226276397705,0.0,2,1
0.311684250831604,0.04288625717163086,0.13759520109600065,1.0,0.311684250831604,0.0,1,0
0.9602285623550415,0.30390501022338867,0.31649236664866126,1.0,0.9602285623550415,0.0,3,1
0.34312641620635986,0.07876968383789062,0.22956461559787836,1.0,0.34312641620635986,0.0,1,0
1.2392934560775757,1.2531166076660156,1.0111540584037222,1.0,1.2392934560775757,0.0,3,4
2.057036280632019,2.8593244552612305,1.3900214022392987,1.0,2.057036280632019,0.0,4,4
0.006383538246154785,0.0061397552490234375,0.9618106780705522,1.0,0.006383538246154785,0.0,0,4
0.05321359634399414,0.011640071868896484,0.21874243931288476,1.0,0.05321359634399414,0.0,0,0
0.5814393758773804,0.753230094909668,1.2954576627581489,1.0,0.5814393758773804,0.0,2,4
0.3350013494491577,0.24730253219604492,0.7382135403415065,1.0,0.3350013494491577,0.0,1,3
0.08671414852142334,0.004661083221435547,0.0537522803476989,1.0,0.08671414852142334,0.0,0,0
0.65748131275177,0.09386777877807617,0.14276874027827413,1.0,0.65748131275177,0.0,2,0
1.1285585165023804,1.6236944198608398,1.43873303521113,1.0,1.1285585165023804,0.0,3,4
0.49423742294311523,0.3141779899597168,0.6356823165854792,1.0,0.49423742294311523,0.0,2,2
0.03133523464202881,0.015611648559570312,0.49821387131503964,1.0,0.03133523464202881,0.0,0,2
0.11038839817047119,0.0324559211730957,0.2940156910599835,1.0,0.11038839817047119,0.0,0,1
0.2869222164154053,0.09444046020507812,0.32915004416509686,1.0,0.2869222164154053,0.0,1,1
0.8892039060592651,0.5280170440673828,0.5938087321359458,1.0,0.8892039060592651,0.0,3,2
0.496798038482666,0.4563717842102051,0.9186263810623491,1.0,0.496798038482666,0.0,2,3
0.7815002202987671,1.024306297302246,1.3106922694284775,1.0,0.7815002202987671,0.0,3,4
2.987261652946472,2.3632187843322754,0.7910986913387132,1.0,2.987261652946472,0.0,4,3
0.2806781530380249,0.3801708221435547,1.3544724376608357,1.0,0.2806781530380249,0.0,1,4
0.4034675359725952,0.05321216583251953,0.13188710636717466,1.0,0.4034675359725952,0.0,2,0
0.7315934896469116,0.6069746017456055,0.8296610212299034,1.0,0.7315934896469116,0.0,2,3
2.094370722770691,1.5568137168884277,0.7433324482443506,1.0,2.094370722770691,0.0,4,3
0.23049700260162354,0.009326934814453125,0.040464451637894874,1.0,0.23049700260162354,0.0,1,0
1.364859700202942,1.5457572937011719,1.1325393324100141,1.0,1.364859700202942,0.0,3,4
