dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible
ML-1M,0,mu,0.9795464277267456,0.8,0.2,3.6980602741241455,5.453447341918945,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,1,mu,0.9864569306373596,0.8245,0.1755,3.6293649673461914,5.508132457733154,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,2,mu,0.9910963177680969,0.8375,0.1625,3.5930333137512207,5.526809215545654,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,3,mu,0.9938077926635742,0.845,0.155,3.5725176334381104,5.535187721252441,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,4,mu,0.9955252408981323,0.844,0.156,3.559752941131592,5.534049034118652,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,5,mu,0.9965193867683411,0.8475,0.1525,3.5486464500427246,5.546908855438232,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,6,mu,0.9973421692848206,0.8455,0.1545,3.5387110710144043,5.55176305770874,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,7,mu,0.9978718161582947,0.848,0.152,3.5313713550567627,5.54780912399292,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,8,mu,0.9982205033302307,0.85,0.15,3.524470806121826,5.552770137786865,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,9,mu,0.9985116720199585,0.851,0.149,3.5172224044799805,5.545838356018066,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,10,mu,0.9986622333526611,0.8515,0.1485,3.510685443878174,5.5472331047058105,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,11,mu,0.998895525932312,0.8515,0.1485,3.5063042640686035,5.550113201141357,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,12,mu,0.9989771842956543,0.8525,0.1475,3.5019071102142334,5.5409440994262695,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,13,mu,0.9990787506103516,0.8525,0.1475,3.498236656188965,5.539443492889404,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,14,mu,0.9991479516029358,0.852,0.148,3.4944887161254883,5.533111095428467,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
ML-1M,15,mu,0.9992145299911499,0.852,0.148,3.4916791915893555,5.52780818939209,4.059373378753662,0.9,1000,0.22843480110168457,,,,,,
