dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
Amazon-VideoGames,7,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,6.706690230369568,0.015458617210388326,0.05,0.023576863876419548,0.7766784951835871,1.4463732957839965,0.04,0.08854646682739258,0.750757648423314
Amazon-VideoGames,7,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.658505811691284,0.06364303588867237,0.05,0.023576863876419548,0.7074627313762903,1.5485620677471161,0.09,0.009590277671813965,0.6815418846160174
Amazon-VideoGames,8,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,6.881078145503998,0.04509449005126953,0.03,0.011895405204413553,0.6772239355742932,1.5181246578693388,0.07,0.03592231750488281,0.6540255899727344
Amazon-VideoGames,8,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.929985740184784,-0.0038131046295166726,0.03,0.011343633289973145,0.8291704253852368,2.1714639782905576,0.11,0.11997805595397949,0.8031937511265278
Amazon-VideoGames,8,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.98,0.020000000000000018,6.897313587665558,0.02885904788970972,0.03,0.011343633289973145,0.7540267775952816,1.4367292284965516,0.02,0.057031984329223635,0.7280501033365726
Amazon-VideoGames,8,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.857587819099426,0.06858481645584114,0.03,0.011343633289973145,0.7184728883206845,1.5345966637134552,0.08,0.009278734922409057,0.6908666457235814
Amazon-VideoGames,9,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,7.507806580066681,0.06950056791305492,0.05,0.0181881255646998,0.7124563231319189,1.6469535946846006,0.07,0.037916486263275144,0.6961839867383242
Amazon-VideoGames,9,Primal-Dual,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,7.58043867111206,-0.003131523132323899,0.06,0.02038553940861261,0.9377855221182108,2.772249472141265,0.1,0.18236251235008238,0.9159615268558263
Amazon-VideoGames,9,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,7.569711666107178,0.007595481872558096,0.06,0.02038553940861261,0.9110209146887064,2.772249472141265,0.07,0.1579089903831482,0.889196919426322
Amazon-VideoGames,9,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,7.496742243766785,0.08056490421295148,0.06,0.02038553940861261,0.7670029667764902,1.4584605574607847,0.06,0.011760560274124145,0.7451789715141058
Amazon-VideoGames,10,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,7.021832032203674,0.06870503187179544,0.13,0.07037804149714336,0.6523962731659413,1.556240552663803,0.07,0.05796416997909546,0.5978417512774468
Amazon-VideoGames,10,Primal-Dual,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,7.09053706407547,0.0,0.13,0.07037804149714336,0.8520202831923962,2.6928560137748714,0.09,0.19254780650138856,0.7919745272397996
Amazon-VideoGames,10,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,7.085121710300445,0.005415353775024556,0.13,0.07037804149714336,0.8311378292739391,2.5945496916770927,0.07,0.1736110508441925,0.7710920733213424
Amazon-VideoGames,10,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.950923516750335,0.1396135473251343,0.13,0.07037804149714336,0.6647375802695751,1.5170983910560607,0.06,0.0076608026027679445,0.6046918243169784
Amazon-VideoGames,11,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.123879749774932,0.056352756023407835,0.06,0.02464984929275976,0.7477435566484928,1.7978614568710323,0.1,0.040964726209640506,0.7291932848095893
Amazon-VideoGames,11,Primal-Dual,0.9,1.4568411111831665,17286,100,0.87,0.13,6.19145423412323,-0.011221728324890101,0.07,0.028858773991397482,0.9520643366873265,2.343958055973052,0.13,0.1393492603302002,0.9229170669615269
Amazon-VideoGames,11,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.18023250579834,0.0,0.07,0.028858773991397482,0.9317210759222507,2.343958055973052,0.09,0.12052138924598693,0.9025738061964512
Amazon-VideoGames,11,OC-Quota,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,6.1069320821762085,0.07330042362213174,0.07,0.028858773991397482,0.822636634260416,1.5554428100585938,0.07,0.01233418583869934,0.7934893645346165
Amazon-VideoGames,12,Penalty,0.9,1.4568411111831665,17286,100,0.88,0.12,6.233362355232239,0.04220975637435931,0.04,0.0164527201342591,0.6644988511502743,1.848806595802307,0.12,0.06373491883277893,0.6551720325648784
Amazon-VideoGames,12,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,6.270662500858307,0.0049096107482915485,0.05,0.022081615162328063,0.7967862053215504,2.337061059474944,0.08,0.11634029984474183,0.781957944482565
Amazon-VideoGames,12,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,6.271571829319,0.004000282287598189,0.05,0.022081615162328063,0.7950575621426106,2.337061059474944,0.08,0.11459170579910279,0.7802293013036251
Amazon-VideoGames,12,OC-Quota,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,6.169458768367767,0.10611334323883082,0.05,0.022081615162328063,0.6844844670593738,1.4416450440883635,0.05,0.008251805305480957,0.6696562062203885
