dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup,val_compliance,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-1M,200,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.128739800543971,0.062550482595542,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,0.5483015741507871,0.0,-0.0049788952268841,,,,,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.072079536039768,0.0347535412948738,0.1314596554850408,0.0633839896387317,0.8871582435791218,1.568171487849857,2.9613922357559206,10.524335506995453,0.5483015741507871,0.0216265002853539,0.0166476050584698,,,,,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.0717481358740679,0.0348236568633889,0.1308552432759141,0.0635118673830621,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,0.5483015741507871,0.0480061472598052,0.0430272520329211,,,,,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.0714167357083678,0.0358291848423337,0.1302508310667875,0.0653457632286141,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,0.5483015741507871,0.2937832880533726,0.2888043928264885,1.0,grid,,,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.0714167357083678,0.0353282134738005,0.1302508310667875,0.0644320847127187,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.5483015741507871,0.0427219798570845,0.0377430846302004,0.3293991088867187,bisect,,,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0714167357083678,0.0345826206977578,0.1302508310667875,0.0630722622879929,0.9000828500414251,1.5814028555275788,3.2328308105468757,10.540983112053922,0.5483015741507871,0.0049788952268841,0.0,,,0.0,603.0,,,,,,,,,,
ML-1M,200,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0714167357083678,0.0345914888790173,0.1302508310667875,0.0630884361997188,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,0.5483015741507871,0.0051736064458935,0.0001947112190094,,,,,0.0,0.0,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0947930574098798,0.046056864020616,0.8,1.6208578173777932,3.253018617630005,10.545962007280806,0.7446561723280861,0.0,-0.0049788952268841,,,,,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.072079536039768,0.0347535412948738,0.0967957276368491,0.046670587831456,0.8888152444076222,1.5666273611717314,2.948740243911743,10.521417027499524,0.7446561723280861,0.0245449797812824,0.0195660845543983,,,,,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.0717481358740679,0.0348236568633889,0.0963506898086337,0.0467647461438701,1.0,1.4622395124962335,2.3018548250198365,10.497955860021,0.7446561723280861,0.0480061472598052,0.0430272520329211,,,,,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.0714167357083678,0.0358291848423337,0.0959056519804183,0.0481150713225376,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,0.7446561723280861,0.2937832880533726,0.2888043928264885,1.0,grid,,,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.0714167357083678,0.0353282134738005,0.0959056519804183,0.0474423160468149,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.7446561723280861,0.0427219798570845,0.0377430846302004,0.3293991088867187,bisect,,,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0714167357083678,0.0345826206977578,0.0959056519804183,0.0464410582801443,0.9000828500414251,1.5813854493120532,3.2328308105468757,10.540983112053922,0.7446561723280861,0.0049788952268841,0.0,,,0.0,603.0,,,,,,,,,,
ML-1M,500,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0714167357083678,0.0345914888790173,0.0959056519804183,0.0464529673753604,0.9000828500414251,1.5810126625254517,3.222679424285889,10.540788400834913,0.7446561723280861,0.0051736064458935,0.0001947112190094,,,,,0.0,0.0,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0809424282728481,0.0393272937314551,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,0.8720795360397681,0.0,-0.0049788952268841,,,,,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.072079536039768,0.0347535412948738,0.0826524795743872,0.039851343666077,0.8914664457332229,1.5646644122991171,2.94102385044098,10.516628291217769,0.8720795360397681,0.0293337160630375,0.0243548208361534,,,,,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.0717481358740679,0.0348236568633889,0.0822724681740452,0.0399317440947278,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,0.8720795360397681,0.0480061472598052,0.0430272520329211,,,,,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.0714167357083678,0.0358291848423337,0.0818924567737032,0.0410847673424822,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,0.8720795360397681,0.2937832880533726,0.2888043928264885,1.0,grid,,,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.0714167357083678,0.0353282134738005,0.0818924567737032,0.0405103112890721,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,0.8720795360397681,0.0427219798570845,0.0377430846302004,0.3293991088867187,bisect,,,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0714167357083678,0.0345826206977578,0.0818924567737032,0.0396553516836345,0.9000828500414251,1.5814028555275788,3.2328308105468757,10.540983112053922,0.8720795360397681,0.0049788952268841,0.0,,,0.0,603.0,,,,,,,,,,
ML-1M,1000,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0714167357083678,0.0345914888790173,0.0818924567737032,0.0396655206887459,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,0.8720795360397681,0.0051736064458935,0.0001947112190094,,,,,0.0,0.0,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,0.0,-0.0049788952268841,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,ConstrainedGreedy,0.0714167357083678,0.0345619490321941,0.0714167357083678,0.0345619490321941,1.0,1.4872066928059875,2.344715881347656,10.247173773758451,1.0,0.2987882335223535,0.2938093382954694,,,,,,,,,,,,,,
