dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-1M,3533,3533,2.347123050689697,0.8,0.95,"PenaltyBisect, λ=0.518",0.0715824357912179,0.0355902082706657,0.0715824357912179,0.0355902082706657,0.9501242750621376,1.2212249320836823,2.3468834400177,10.447935652397048,1.0,0.5176544189453125,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,OracleGate,0.0717481358740679,0.034695565296807,0.0717481358740679,0.034695565296807,0.9501242750621376,1.5381009346644248,2.347014236450195,10.53030797283612,1.0,,,,0.0,301.0,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,QuotaGateV6,0.0719138359569179,0.0348451355992527,0.0719138359569179,0.0348451355992527,0.9501242750621376,1.5379756516072507,2.347014236450195,10.530151129519536,1.0,,,,,,0.0,0.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,Baseline(mu-only),0.0705882352941176,0.0342965280710271,0.0705882352941176,0.0342965280710271,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,HardBisection,0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,"PenaltyGrid, λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316488,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,"PenaltyBisect, λ=0.734",0.0724109362054681,0.0360864748319123,0.0724109362054681,0.0360864748319123,0.980115990057995,1.090297657442715,2.0419638395309447,10.366353606387614,1.0,0.7341384887695312,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,OracleGate,0.0714167357083678,0.0347161509462193,0.0714167357083678,0.0347161509462193,0.980115990057995,1.5016126725566517,2.317362976074219,10.517243114145906,1.0,,,,0.0,120.0,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,QuotaGateV6,0.0714167357083678,0.0347161509462193,0.0714167357083678,0.0347161509462193,0.980115990057995,1.500301126362918,2.3175010204315187,10.51691369480996,1.0,,,,,,0.0,5.0,,,,,,,
ML-20M,5000,20720,0.9630447268486024,0.8,0.8,Baseline(mu-only),0.081,0.0397287578218223,0.0841471015998337,0.0412723434675071,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,,,,,,,,
