risk_bucket,mean_risk,hit_rate,recall,ndcg,compliance,n,dataset
1,0.31178559923171995,0.145,0.145,0.06844201820739833,1.0,1000,ML-20M
2,0.5002976614236831,0.096,0.096,0.04880319755109814,1.0,1000,ML-20M
3,0.6600923528671264,0.072,0.072,0.03600942416819664,1.0,1000,ML-20M
4,0.8458261276483536,0.059,0.059,0.030906714508465993,1.0,1000,ML-20M
5,1.2296148473620414,0.033,0.033,0.014482434673952849,0.0,1000,ML-20M
