dataset,method,highrisk_cohort,served_risk,hit,bad_exposure
Amazon-VideoGames,Penalty,1.0,1.931480884552002,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.8885706067085266,1.0,0.0
Amazon-VideoGames,Penalty,1.0,1.9179309606552124,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6933146715164185,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6523456573486328,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7128551602363586,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7665615677833557,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9462171792984009,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3734468221664429,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2381844520568848,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6457982063293457,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7603746652603149,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4513437747955322,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3708192110061646,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8894710540771484,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1978600025177,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6343413591384888,0.0,0.0
Amazon-VideoGames,Penalty,1.0,3.0324149131774902,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.9161033630371094,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5767545104026794,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.2553063929080963,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5492545962333679,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.599922239780426,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.3174004554748535,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.0853374004364014,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.3018137514591217,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7254876494407654,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9683209657669067,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5672225952148438,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8678057193756104,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.8223505020141602,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.739039421081543,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.9113081097602844,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.4186939299106598,1.0,0.0
