dataset,scope,comparator,metric,quota_minus_comp_mean,ci_low,ci_high
ML-20M,highrisk,Penalty,weighted_bad_exposure,0.11214796795845032,0.09867370500534775,0.12512339799016714
ML-20M,highrisk,Penalty,risk_weighted_miss,0.14720709973573684,0.1324687060058117,0.1629805713444948
ML-20M,highrisk,Penalty,compliant,0.001,-0.021,0.022
ML-20M,highrisk,Penalty,hit,0.0,-0.007024999999999999,0.006024999999999977
ML-20M,highrisk,Penalty,ndcg,-0.00022450092294574664,-0.0030019076030396562,0.0020697211256122325
ML-20M,overall,Primal-Dual,bad_exposure,-0.0008,-0.0036,0.002
ML-20M,overall,Primal-Dual,weighted_bad_exposure,-0.0001883933591842652,-0.0009869784521460534,0.0006571963512301443
ML-20M,overall,Primal-Dual,risk_weighted_miss,-0.00023009830713272095,-0.0014267172750830651,0.0009455496120452875
ML-20M,overall,Primal-Dual,compliant,0.0004,-0.0024,0.0032049999999999956
ML-20M,overall,Primal-Dual,hit,0.0,-0.0008,0.0008
ML-20M,overall,Primal-Dual,ndcg,2.511142365762914e-05,-0.0002483872979798341,0.00030484589358516776
ML-20M,highrisk,Primal-Dual,bad_exposure,-0.004,-0.017025,0.010024999999999977
ML-20M,highrisk,Primal-Dual,weighted_bad_exposure,-0.000941966795921326,-0.0046408653035759926,0.002593624976873397
ML-20M,highrisk,Primal-Dual,risk_weighted_miss,-0.0011504915356636046,-0.007230018232762814,0.004612918654084205
ML-20M,highrisk,Primal-Dual,compliant,0.002,-0.012,0.016
ML-20M,highrisk,Primal-Dual,hit,0.0,-0.004,0.004
ML-20M,highrisk,Primal-Dual,ndcg,0.0001255571182881457,-0.0012536025300116114,0.0016184899255989097
