dataset,risk_spearman_ndcg,mu_only_ndcg_lowQ,mu_only_ndcg_highQ,quota_high_risk_exposure_rate,quota_ndcg,quota_compliance,primal_high_risk_exposure_rate,primal_ndcg,primal_compliance,penalty_high_risk_exposure_rate,penalty_ndcg,penalty_compliance
Amazon-VideoGames,-0.12600103850638608,0.048080268520908846,0.008527552881707076,0.0994,0.02807601073393515,0.9006,0.098,0.02807601073393515,0.902,0.1,0.028091016541037378,0.9
ML-1M,-0.1397520714275672,0.058947808091748884,0.01076808642641432,0.09991714995857498,0.03459148887901735,0.9000828500414251,0.10024855012427507,0.034585581502488166,0.899751449875725,0.09991714995857498,0.03532821347380057,0.9000828500414251
ML-20M,-0.13824935928025447,0.06844201820739833,0.014482434673952849,0.0998,0.04011837641584636,0.9002,0.1002,0.04009326499218873,0.8998,0.1,0.040081404742768674,0.9
