risk_bucket,mean_risk,hit_rate,recall,ndcg,compliance,n,dataset
1,0.5822071378437961,0.12013256006628004,0.12013256006628004,0.058947808091748884,1.0,1207,ML-1M
2,1.0376750069802323,0.09444904722452362,0.09444904722452362,0.048906713221978815,1.0,1207,ML-1M
3,1.4773862673017537,0.07125103562551781,0.07125103562551781,0.033441823174291146,1.0,1207,ML-1M
4,2.012672451773061,0.04225352112676056,0.04225352112676056,0.019418209440702407,1.0,1207,ML-1M
5,2.9944352540677506,0.024855012427506214,0.024855012427506214,0.01076808642641432,0.0,1207,ML-1M
