dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,0.82552,0.0568,0.0568,0.0281288127122165,0.17187999999999998,0.16433990820884703,0.9398882707077265,6.046570446228981,-5.769252776843814e-07,0.00030331501776203,0.0,0.0,0.0,0.0003033150177620603,0.00013801780539921592,0.00017813001175746675,0.0002608621849507545,5.266583143044458e-07
Amazon-VideoGames,QuotaGate-RDU,0.9,5,1.0,0.9002000000000001,0.0316,0.0316,0.019991477703850524,0.0972,0.014210290031433103,0.40161985827088353,3.208108463741541,0.05934914320945746,0.0,0.0,0.0,0.0,0.0,0.00010317816493541352,9.953017737050009e-05,0.00011155249302197719,1.0167252622866795e-05
Amazon-VideoGames,QuotaGate-RDU,0.9,10,0.8,0.8019999999999999,0.0566,0.0566,0.028073555179668704,0.1942,0.1091687102174759,0.8869260191446543,6.0151339019060135,0.030962188529968238,0.0,0.0,0.0,0.0,0.0,0.00030763318618109515,0.00030763318618112686,0.0003008235729888844,8.760677838527465e-05
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,0.9002000000000001,0.05639999999999999,0.05639999999999999,0.02803887088346388,0.0968,0.027533619346618653,0.7954228433901072,5.945909201159477,0.08850004877090463,0.0,0.0,0.0,0.0,0.0,0.0001888541023758672,0.00019270027705065208,0.00019625118186824587,2.535458234898345e-05
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.2,0.9048400000000001,0.05739999999999999,0.05739999999999999,0.02850890209941793,0.09396,0.12367645772933959,0.8551238259536028,6.00795447491169,0.0033316759967803476,8.944271909998484e-05,0.0,0.0,0.0,8.944271909999693e-05,9.884500914603616e-05,0.00010583259768936528,0.00022127925442390038,3.3994283780296246e-05
Amazon-VideoGames,QuotaGate-RDU,0.9,20,1.0,0.9006000000000001,0.0838,0.0838,0.03486618358038535,0.0958,0.06228361160278321,1.561386512836814,10.744447712783813,0.13289885574340837,0.0,0.0,0.0,0.0,0.0,0.00029485624804335265,0.00029046737582068245,0.0003530629142673423,5.021713674156896e-05
Amazon-VideoGames,QuotaGate-RDU,0.95,10,1.0,0.95,0.05700000000000001,0.05700000000000001,0.028330273820293194,0.0478,0.0060401697969436645,0.7678946648842097,5.9316931297922135,0.07844658366203312,0.0,0.0,0.0,0.0,0.0,0.00021123216394078459,0.00020162956052347073,0.00021937579372521268,0.00015464954736624166
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,0.8256399999999999,0.0568,0.0568,0.0281288127122165,0.17176,0.16433168219566346,0.9398735549503565,6.0465698693037035,0.0,0.00021908902300204358,0.0,0.0,0.0,0.00021908902300206691,0.00013492291787704913,0.00017325050294193325,0.00026078899855718407,0.0
Amazon-VideoGames,QuotaGate-U,0.9,5,1.0,0.9002000000000001,0.03144,0.03144,0.01998705309433913,0.09896,0.08088347703695298,0.47052340314269064,3.267457606950998,0.0,0.0,8.944271909999396e-05,8.944271909999396e-05,3.460116697052126e-05,8.944271909999551e-05,0.00010962789699442775,0.0001364927154354887,0.0001094239154276508,0.0
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,0.8004,0.0566,0.0566,0.028067426055643403,0.1958,0.15798062021255493,0.9359451960664987,6.046096090435982,0.0,0.0,0.0,0.0,0.0,0.0,0.00033362284847826963,0.00033362284847830893,0.00032906913653074643,0.0
