dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
ML-1M,WBEThreshold,0.95,10,1.0,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04871582435791218,0.005216845043849238,1.3920133339190839,10.499832627692298,0.03029389993751295,0.0,0.0,0.0,0.0,0.0,0.00012669093442968133,0.00012024469778118748,4.759136272302141e-05,3.161357891091505e-05
ML-20M,AdaptivePenalty,0.8,10,1.0,0.8068,0.081,0.081,0.03967221446523444,0.1868,0.049941697423458074,0.6597957133337855,9.817818416333198,-7.195559024815168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64510961102221e-05
ML-20M,AdaptivePenalty,0.9,5,1.0,0.9002000000000001,0.045,0.045,0.02785879287948855,0.0984,0.011303758664131157,0.2812443489592522,5.092943178200722,0.018339479789733916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3996851113723307e-05
ML-20M,AdaptivePenalty,0.9,10,0.8,0.9,0.0834,0.0834,0.040089633892140944,0.0968,0.019094335274696336,0.5755965410649776,9.796469872307778,0.021363092303275266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.510247529859859e-05
ML-20M,AdaptivePenalty,0.9,10,1.0,0.9002000000000001,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019557433772087407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781393e-05
ML-20M,AdaptivePenalty,0.9,10,1.2,0.9002000000000001,0.0842,0.0842,0.040342597565721915,0.0964,0.019115911450386037,0.5735083717256785,9.794528885006905,0.003007233648299845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.715733931243852e-05
ML-20M,AdaptivePenalty,0.9,20,1.0,0.9,0.1456,0.1456,0.05580096785662873,0.0922,0.03129196697711942,1.1300290470004082,18.5471798517704,0.022836488552093925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002962078275159126
ML-20M,AdaptivePenalty,0.95,10,1.0,0.9498,0.0842,0.0842,0.040349177844822275,0.0486,0.008466582748889917,0.5217717585906386,9.757250871109962,0.050219521040917314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6958081825566e-05
ML-20M,Penalty,0.8,10,1.0,0.8,0.081,0.081,0.039728757821822384,0.1934,0.05202285684585569,0.664258563657105,9.817906451702118,-0.0001599909591682547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64510961102221e-05
ML-20M,Penalty,0.9,5,1.0,0.873,0.0444,0.0444,0.027570180046619625,0.1248,0.015335135724544518,0.29736415720693765,5.104054883646965,0.007227774343490622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399685111372318e-05
ML-20M,Penalty,0.9,10,0.8,0.8821999999999999,0.0836,0.0836,0.040190209448928794,0.11379999999999998,0.02301229086399077,0.5892972047001124,9.80322186141014,0.014611103200913078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.510247529859859e-05
ML-20M,Penalty,0.9,10,1.0,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018212179303169762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781393e-05
ML-20M,Penalty,0.9,10,1.2,0.9145999999999999,0.0834,0.0834,0.04015429754869277,0.0824,0.015497979440689074,0.5611622365176677,9.788228270220756,0.009307848434448474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.715733931243832e-05
ML-20M,Penalty,0.9,20,1.0,0.9164,0.1458,0.1458,0.05575948632482035,0.0774,0.02493149869918821,1.1049009422302245,18.53501021051407,0.035006129808425615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002962078275159125
ML-20M,Penalty,0.95,10,1.0,0.9578,0.0846,0.0846,0.040563801472893124,0.0408,0.006965528099536891,0.5102416364267468,9.746785776925087,0.06068461522579227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6958081825566e-05
ML-20M,Primal-Dual,0.8,10,1.0,0.8158,0.081,0.081,0.039731150855691615,0.1786,0.05113725235223767,0.6627447281315922,9.817821550178527,-7.508943557716918e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64510961102221e-05
ML-20M,Primal-Dual,0.9,5,1.0,0.9006000000000001,0.0438,0.0438,0.027870288346408638,0.098,0.026260788649320597,0.3306854582373053,5.1111424759149555,0.00014018207550012818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399685111372322e-05
ML-20M,Primal-Dual,0.9,10,0.8,0.8006,0.0812,0.0812,0.039786570787085966,0.1926,0.049439797935485814,0.6614498201683163,9.817567078971862,0.0002658856391910547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.510247529859859e-05
ML-20M,Primal-Dual,0.9,10,1.0,0.8998000000000002,0.0822,0.0822,0.04009326499218873,0.0974,0.04167822164535521,0.6473377051070333,9.814572551727295,-0.0001910298347471695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.512591509781401e-05
ML-20M,Primal-Dual,0.9,10,1.2,0.899,0.0822,0.0822,0.04028141085521944,0.0984,0.0399779858970642,0.6151636516407132,9.798917309069633,-0.0013811904144287012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.715733931243847e-05
ML-20M,Primal-Dual,0.9,20,1.0,0.9004,0.1448,0.1448,0.05566677428920726,0.0918,0.06236832843780514,1.2366284427285195,18.57082205348015,-0.0008057131576542532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002962078275159126
ML-20M,Primal-Dual,0.95,10,1.0,0.9502,0.0828,0.0828,0.04026205566961328,0.048,0.028247513842582693,0.6301604594066739,9.80754300851822,-7.26163673405722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.695808182556639e-05
ML-20M,QuotaGate-RDU,0.8,10,1.0,0.80292,0.08116,0.08116,0.03980352063167953,0.19052,0.04874203481388089,0.6605623710015416,9.815268907413483,0.002477553329466886,0.00030331501776210333,8.944271909998776e-05,8.944271909998776e-05,5.6432072720516306e-05,0.00030331501776205324,0.00010166076964670672,0.00012436259849193368,0.0001540778375627438,0.0001657240138026094
ML-20M,QuotaGate-RDU,0.9,5,1.0,0.9002000000000001,0.0436,0.0436,0.02770559518265108,0.0978,0.005402047972679132,0.3074847333482653,5.091220845177173,0.02006181281328221,0.0,0.0,0.0,0.0,0.0,9.031300243787689e-05,8.398029401484481e-05,4.5034623470079664e-05,1.4190930688428986e-05
ML-20M,QuotaGate-RDU,0.9,10,0.8,0.8,0.081,0.081,0.039723520631679526,0.1934,0.05183489317893979,0.664070599990189,9.817832964611053,0.0,0.0,0.0,0.0,1.1710713170517844e-05,0.0,0.000133622469682182,0.00013362246968219504,6.510247529841982e-05,0.0
ML-20M,QuotaGate-RDU,0.9,10,1.0,0.9002000000000001,0.082,0.082,0.040015766059772785,0.0964,0.008726649558544146,0.6126998184564709,9.788719746723174,0.025661775169372802,0.0,0.0,0.0,0.0,0.0,8.62345447857339e-05,9.34408846483369e-05,8.31618190837229e-05,1.7955575818183042e-05
ML-20M,QuotaGate-RDU,0.9,10,1.2,0.90768,0.0824,0.0824,0.04040165516648794,0.08932,0.03428280781459807,0.6077271918514372,9.796520613570213,0.001015505084991375,0.0001095445115010524,0.0,0.0,0.0,0.0001095445115010315,7.871812526080554e-05,9.027441252189495e-05,6.729565739576924e-05,2.789465856769278e-06
ML-20M,QuotaGate-RDU,0.9,20,1.0,0.9002000000000001,0.14516,0.14516,0.05592559092847199,0.09068000000000001,0.016606727996826148,1.1891848807644843,18.53628472456932,0.033731615753174536,0.0,8.944271909999105e-05,8.944271909999105e-05,3.858217538930443e-05,0.00010954451150103572,0.00028319037384921494,0.00032310057190468,0.00026376571661225717,3.482616372402926e-05
ML-20M,QuotaGate-RDU,0.95,10,1.0,0.95,0.0822,0.0822,0.040094411518045846,0.0476,0.0024511225008964476,0.6033091300681234,9.785250189266204,0.022220202884674124,0.0,0.0,0.0,0.0,0.0,7.412414451204519e-05,7.067112085255187e-05,6.067013395644337e-05,3.1074822922431236e-05
ML-20M,QuotaGate-U,0.8,10,1.0,0.80244,0.08096,0.08096,0.03970352063167953,0.191,0.051650747001171095,0.6638023908928037,9.81774646074295,0.0,0.00026076809620808364,8.944271909999693e-05,8.944271909999693e-05,5.643207272051171e-05,0.0002828427124746273,0.00014214893230750592,0.00015960483879097845,9.645109611057389e-05,0.0
ML-20M,QuotaGate-U,0.9,5,1.0,0.9002000000000001,0.0436,0.0436,0.027695287006426973,0.0984,0.02626166585326194,0.3309652615682036,5.111282657990456,0.0,0.0,0.0,0.0,0.0,0.0,6.367765896617681e-05,7.315025813030636e-05,3.399685111383741e-05,0.0
ML-20M,QuotaGate-U,0.9,10,0.8,0.8,0.081,0.081,0.039723520631679526,0.1934,0.05183489317893979,0.664070599990189,9.817832964611053,0.0,0.0,0.0,0.0,1.1710713170517844e-05,0.0,0.000133622469682182,0.00013362246968219504,6.510247529841982e-05,0.0
ML-20M,QuotaGate-U,0.9,10,1.0,0.9002000000000001,0.0822,0.0822,0.04011837641584636,0.0966,0.041381557602882375,0.6469765598085523,9.814381521892548,0.0,0.0,0.0,0.0,0.0,0.0,6.582557586154519e-05,7.931182272216569e-05,8.512591509779937e-05,0.0
ML-20M,QuotaGate-U,0.9,10,1.2,0.9030799999999999,0.0826,0.0826,0.04038565408246581,0.09412000000000001,0.03906449366998672,0.6128198859360814,9.797536118655206,0.0,0.00010954451150101862,0.0,0.0,0.0,0.00010954451150103572,7.384386432330667e-05,8.544819375220258e-05,6.715733931207261e-05,0.0
ML-20M,QuotaGate-U,0.9,20,1.0,0.9002000000000001,0.14523999999999998,0.14523999999999998,0.05577018853509606,0.0918,0.06155929597377774,1.234957810714245,18.570016340322496,0.0,0.0,0.0001673320053068123,0.0001673320053068123,4.8424098133928795e-05,0.0001414213562373111,0.0003462554433076059,0.0006263724571069485,0.00029620782751638933,0.0
ML-20M,QuotaGate-U,0.95,10,1.0,0.95,0.0828,0.0828,0.040321574953660906,0.048,0.028138892822265615,0.6300067816022039,9.80747039215088,0.0,0.0,0.0,0.0,0.0,0.0,8.003715940266039e-05,7.869238282092444e-05,6.695808182546294e-05,0.0
ML-20M,WBEThreshold,0.8,10,1.0,0.80192,0.08104,0.08104,0.03972875782182239,0.19152,0.051094214076518985,0.6631921168878675,9.817676192684173,7.026805877643482e-05,0.00010954451150110138,0.0001673320053068114,0.0001673320053068114,7.727279798949565e-05,0.00010954451150103235,9.8500585701702e-05,0.00011442124959035942,9.359504378239259e-05,1.2699788792943528e-05
ML-20M,WBEThreshold,0.9,5,1.0,0.9002000000000001,0.0434,0.0434,0.027625855399738948,0.097,0.004657322551012033,0.3081888372746855,5.09166423404932,0.019618423941135534,0.0,0.0,0.0,0.0,0.0,7.974810266550516e-05,8.875626119703849e-05,3.9994090338036704e-05,7.89164474852853e-06
ML-20M,WBEThreshold,0.9,10,0.8,0.8,0.081,0.081,0.039723520631679526,0.1934,0.05183489317893979,0.664070599990189,9.817832964611053,0.0,0.0,0.0,0.0,1.1710713170517844e-05,0.0,0.000133622469682182,0.00013362246968219504,6.510247529841982e-05,0.0
ML-20M,WBEThreshold,0.9,10,1.0,0.9002000000000001,0.0822,0.0822,0.04011576605977278,0.096,0.008172160654067982,0.6130404183271527,9.788965832576752,0.02541568931579654,0.0,0.0,0.0,0.0,0.0,8.759302505478365e-05,0.00010037216536132628,8.431834575391778e-05,1.0632718001058977e-05
ML-20M,WBEThreshold,0.9,10,1.2,0.9030799999999999,0.0826,0.0826,0.04038565408246581,0.09412000000000001,0.03906449366998672,0.6128198859360814,9.797536118655206,0.0,0.00010954451150101862,0.0,0.0,0.0,0.00010954451150103572,7.384386432330667e-05,8.544819375220258e-05,6.715733931207261e-05,0.0
ML-20M,WBEThreshold,0.9,20,1.0,0.9002000000000001,0.14516,0.14516,0.055967340895955495,0.09088,0.016555908490180946,1.189478954937458,18.53652454298973,0.03349179733276486,0.0,8.944271909999105e-05,8.944271909999105e-05,3.8582175389291175e-05,0.00010954451150102728,0.00028517747418180803,0.00035326508823167437,0.0002790864181264341,1.9878467771058245e-05
ML-20M,WBEThreshold,0.95,10,1.0,0.95,0.0822,0.0822,0.04005868515084329,0.047,0.0018827099871635375,0.6039238656929136,9.78527624830246,0.022194143848419758,0.0,0.0,0.0,0.0,0.0,7.224000076967135e-05,6.789831005923758e-05,6.047756322447123e-05,2.706021647483214e-05
