warmup,comp_dev,proxy_loss,ndcg,wbe,dataset,setting,tuning_object,lambda,compliance,ndcg_drop_vs_quota,proxy_gap_vs_quota,gamma,proxy_utility,lam,eta0,rdu_lambda,wbe_gamma,penalty_lam,adaptive_eta0,pd_eta0
,0.00019999999999997797,,,0.041355457162857046,ML-20M,main_tau0.9_k10_ws1.0,PrimalDual_eta0,,0.9002,,,,9.814428345108032,,0.5,,,,,
,0.0006000000000000449,,,0.04199804951190947,ML-20M,main_tau0.9_k10_ws1.0,PrimalDual_eta0,,0.8994,,,,9.814714157962799,,0.1,,,,,
,0.0008000000000000229,,,0.04047809767961501,ML-20M,main_tau0.9_k10_ws1.0,PrimalDual_eta0,,0.9008,,,,9.814061272907256,,1.0,,,,,
,0.0038000000000000256,,,0.039072438051700575,ML-20M,main_tau0.9_k10_ws1.0,PrimalDual_eta0,,0.9038,,,,9.813284371566773,,2.0,,,,,
,0.008000000000000007,,,0.03715401119709014,ML-20M,main_tau0.9_k10_ws1.0,PrimalDual_eta0,,0.908,,,,9.812317753887177,,4.0,,,,,
20.0,,,,,Amazon-VideoGames,tau0.8_k10_ws1.0,selected,,,,,,,,,0.01,0.25,0.0,0.5,0.1
10.0,,,,,Amazon-VideoGames,tau0.9_k10_ws1.0,selected,,,,,,,,,32.0,16.0,1.0,4.0,2.0
10.0,,,,,Amazon-VideoGames,tau0.95_k10_ws1.0,selected,,,,,,,,,32.0,32.0,1.0,0.1,0.25
10.0,,,,,Amazon-VideoGames,tau0.9_k5_ws1.0,selected,,,,,,,,,32.0,32.0,1.0,4.0,2.0
10.0,,,,,Amazon-VideoGames,tau0.9_k10_ws1.0,selected,,,,,,,,,32.0,16.0,1.0,4.0,2.0
10.0,,,,,Amazon-VideoGames,tau0.9_k20_ws1.0,selected,,,,,,,,,16.0,1.0,0.5,4.0,2.0
20.0,,,,,Amazon-VideoGames,tau0.9_k10_ws0.8,selected,,,,,,,,,8.0,16.0,1.0,4.0,0.1
10.0,,,,,Amazon-VideoGames,tau0.9_k10_ws1.0,selected,,,,,,,,,32.0,16.0,1.0,4.0,2.0
10.0,,,,,Amazon-VideoGames,tau0.9_k10_ws1.2,selected,,,,,,,,,0.5,0.01,0.5,4.0,4.0
10.0,,,,,ML-1M,tau0.8_k10_ws1.0,selected,,,,,,,,,4.0,8.0,0.0,0.1,0.1
10.0,,,,,ML-1M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,32.0,0.25,1.0,0.5
10.0,,,,,ML-1M,tau0.95_k10_ws1.0,selected,,,,,,,,,32.0,32.0,0.5,2.0,4.0
10.0,,,,,ML-1M,tau0.9_k5_ws1.0,selected,,,,,,,,,32.0,32.0,0.5,1.0,1.0
10.0,,,,,ML-1M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,32.0,0.25,1.0,0.5
10.0,,,,,ML-1M,tau0.9_k20_ws1.0,selected,,,,,,,,,16.0,8.0,0.25,1.0,0.5
10.0,,,,,ML-1M,tau0.9_k10_ws0.8,selected,,,,,,,,,0.0,0.0,0.5,2.0,4.0
10.0,,,,,ML-1M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,32.0,0.25,1.0,0.5
10.0,,,,,ML-1M,tau0.9_k10_ws1.2,selected,,,,,,,,,0.5,0.0,0.25,1.0,1.0
20.0,,,,,ML-20M,tau0.8_k10_ws1.0,selected,,,,,,,,,32.0,0.25,0.0,0.1,0.1
10.0,,,,,ML-20M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,16.0,0.5,2.0,0.25
10.0,,,,,ML-20M,tau0.95_k10_ws1.0,selected,,,,,,,,,16.0,16.0,1.0,2.0,1.0
10.0,,,,,ML-20M,tau0.9_k5_ws1.0,selected,,,,,,,,,16.0,16.0,0.5,4.0,0.5
10.0,,,,,ML-20M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,16.0,0.5,2.0,0.25
10.0,,,,,ML-20M,tau0.9_k20_ws1.0,selected,,,,,,,,,32.0,16.0,0.5,1.0,0.5
10.0,,,,,ML-20M,tau0.9_k10_ws0.8,selected,,,,,,,,,0.0,0.0,0.5,0.25,2.0
10.0,,,,,ML-20M,tau0.9_k10_ws1.0,selected,,,,,,,,,16.0,16.0,0.5,2.0,0.25
10.0,,,,,ML-20M,tau0.9_k10_ws1.2,selected,,,,,,,,,0.5,0.0,0.5,2.0,0.1
