model,auc_mean,auc_std,logloss_mean,logloss_std,dataset,delta_auc_vs_utility_only
utility_only,0.5502851201480549,0.01704816176416508,0.21647951929910927,0.01470990734759521,Amazon-VideoGames,0.0
utility_plus_risk,0.658067925576573,0.00678018368445947,0.2088256948366823,0.014505607442620489,Amazon-VideoGames,0.10778280542851815
utility_only,0.6851293202922897,0.018782884698749214,0.24391840000367876,0.022820726284147396,ML-1M,0.0
utility_plus_risk,0.6860565778181102,0.020621527844494975,0.24259052991585345,0.024260223420511165,ML-1M,0.0009272575258205684
utility_only,0.6327717133892907,0.03405540888022547,0.27781073847662785,0.020331551092861156,ML-20M,0.0
utility_plus_risk,0.6538742477156584,0.040527585480823455,0.2710334907475368,0.019492051856465256,ML-20M,0.02110253432636766
